,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,6.031123678336662,2.1634790183813766,2.638758369929124,9.97812228524403,6.66431703206631
2020,5.875028157021487,2.3204817330771794,2.6751027412170694,9.956646133727157,6.855053608832202
2021,5.68944899220521,2.686099873994082,2.096930070516173,9.835088403761654,7.383170815152511
2022,5.508621443606814,2.5896279577469254,2.109837713840101,9.835847377535435,7.229073411680325
2023,5.354952412340682,1.9974557115512268,2.1119152844759634,9.785748525954006,6.1527241191928255
2024,5.204403601371456,1.9636046268492813,2.029090851401387,9.781252551288766,6.048639764385064
2025,4.917934063827784,2.2172650752445087,1.9906349249058752,9.636957730658711,6.824882837697787
2026,4.69125611372957,1.6147704445286097,0.4528875653905598,8.37964075951114,6.032463419271268
2027,4.486218814899717,1.55887229711992,0.4514378291397416,8.317712844763888,5.83544760033606
2028,4.196144778289648,1.8735600880831007,0.4499722618487818,8.255785494391587,6.90720502842822
2029,3.9364868209823674,1.783275144065816,0.4514514246239052,8.242793229420135,6.593762362619828
2030,3.703482609628298,1.71349013763775,0.45590508592558704,8.300000787316693,6.351283447010365
2031,3.4936131163918227,1.6394755449785896,0.45740979499860335,8.286986979888509,6.093834704931879
2032,3.3034605963217585,1.5869342709230099,0.4588729876370477,8.272862379788563,5.8994834892868155
2033,3.13188183282168,1.5235005422860393,0.46025099373992445,8.257155632342652,5.6791077766126605
2034,2.9703970003574267,1.8082394155169776,0.46153813616355444,8.239602195885274,6.708203753764579
2035,2.8153696447174545,1.746629874643083,0.4668018297253007,8.26883911529107,6.4817781602826186
2036,2.6729012155404708,1.6633097115038218,0.467344272038936,8.243336196631311,6.1782484734667555
2037,2.5414893193801484,1.5822810119132305,0.46779832297208523,8.216118824996364,5.888142958169217
2038,2.4011916758060416,1.5123795191864051,0.6202335133383633,8.864653387841095,5.641211605228059
2039,2.2692548528487952,1.4687856532060906,0.7956887173403587,9.76560324772143,5.456681769186792
2040,2.1390689847535045,1.448504049317853,0.8008898923680585,9.771086188389633,5.386861375270342
2041,2.0161867028453146,1.3927032648087438,0.8076111992056848,9.675361493169065,5.189789399506861
2042,1.900252160061983,1.3411348934824676,0.8136408614103315,9.646953570395002,5.007764782306517
2043,1.7908632105887485,1.293449602273569,0.8103596830615046,9.572738250943091,4.839583858390991
2044,1.6868750552880798,1.2491678301055966,0.8162403231064136,9.53711231605422,4.68360014449156
2045,1.5844995518660954,1.2109688889717305,0.8083238307321158,9.419379622891329,4.548487941046854
2046,1.487956836853564,1.171684956506251,0.6144613756231142,8.332354315818735,4.409974035877234
2047,1.3957613676730776,1.1345551225048363,0.6102327229596388,8.251061243068753,4.278965762713177
2048,1.3073038953635403,1.1002962968503018,0.6060214566492418,8.171165380689494,4.157000412002259
2049,1.2223457235871213,1.0670904639757637,0.605842883059547,8.143891279248376,4.04043284288897
