,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,6.114948023077358,0.0,0.0,8.128825057827475,2.9589359248286113
2020,6.042600264243672,0.0,0.0,8.097658259990972,2.9428913728893527
2021,5.9695199661030305,0.0,0.0,8.058092126264246,2.931979763688806
2022,5.895709969900295,0.0,0.0,8.018340338283956,2.9158765258794412
2023,5.821191905738411,0.0,0.0,7.978326307411621,2.899328868140081
2024,5.7459769693248255,0.0,0.0,7.938116921029997,2.882589156839865
2025,5.902984537453385,0.0,0.0,8.822626366511399,2.845303393509464
2026,6.055601759184279,0.0,0.0,8.735051188105883,2.822663743104231
2027,6.203973222183228,0.0,0.0,8.647702217968753,2.799987851346558
2028,6.348218945909291,0.0,0.0,8.560635896599106,2.780045557125571
2029,6.489893735662624,0.0,0.0,8.520405650961349,2.7577040627363454
2030,6.6307248769412634,0.0,0.0,8.590072607156454,2.749125456162378
2031,6.768080862297716,0.0,0.0,8.549723035799863,2.735627793630562
2032,6.902456769223474,0.0,0.0,8.509100730130761,2.7128202158383083
2033,7.033820258267797,0.0,0.0,8.468151596978311,2.6899508594262587
2034,7.162142036196185,0.0,0.0,8.42681978530524,2.666772747397727
2035,7.274866731491496,0.0,0.0,8.549959547916918,2.6784655235441184
2036,7.38467825298571,0.0,0.0,8.508214137283828,2.6518640492086196
2037,7.491370491799306,0.0,0.0,8.467453076153053,2.6253242075124956
2038,7.513893443742909,0.0,0.0,9.137382152954144,2.612338515101577
2039,7.546422745074903,0.0,0.0,8.514701062533138,2.5888392750175053
2040,7.561561641326315,0.0,0.0,8.62636409703341,2.6123239917581533
2041,7.573622635245287,0.0,0.0,8.554377811795984,2.584065438108351
2042,7.581292359859379,0.0,0.0,8.484115777082259,2.5768603041967832
2043,7.585670306562088,0.0,0.0,8.415462545322212,2.5494931358477175
2044,7.586654727822941,0.0,0.0,8.348475253315444,2.5225911369650458
2045,7.394368979335695,0.0,0.0,8.661973652819011,2.5248833034149736
2046,7.203402409935064,0.0,0.0,8.577935727293257,2.4953867856665326
2047,7.013716089118637,0.0,0.0,8.491448704405988,2.466190585113183
2048,6.82526701818976,0.0,0.0,8.40318293311697,2.4373443853845638
2049,6.637936210417396,0.0,0.0,8.360944446950503,2.4087952251319784
