,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,39.893325397392324,129.97314125469018,37.191452155726935,74.27034607168494
2020,39.81745393074288,128.0382977462554,34.49386907100084,76.00924031027978
2021,39.9609646003876,126.23837202160325,31.89435810987695,77.39813033353653
2022,40.058106602741006,123.27353525279763,29.176647568403766,78.7002484749014
2023,40.239696476598574,121.24011916665161,26.794708990915147,80.147423945503
2024,40.276367800142125,118.3953755904089,24.183604217264534,81.23901442384218
2025,40.766987199805406,115.668948386768,21.647872121893244,82.26647257781036
2026,40.94879486057271,112.99459521681392,19.230343338915446,82.88226362447293
2027,41.20126586424054,110.36534888261524,16.967729944946996,83.40824440895372
2028,41.40107100703967,107.65757576481211,14.824976110572262,83.6429985126526
2029,41.67664625538441,105.00527681710149,12.801448291743831,83.82562522831218
2030,42.18688686706993,101.45255012291504,10.853576259778343,84.03207077578205
2031,42.85427056219144,98.48074751566267,9.011994531106044,84.2842596325987
2032,43.59300989636029,95.50546067228812,7.2768829154108685,84.51534875463942
2033,44.39722333580565,92.53169107346164,5.642054629747309,84.71825834139244
2034,45.22168426676946,89.30699038244349,4.096315594012824,84.78116623286068
2035,45.94744302691702,84.80179247398274,2.6435566433235813,84.72430423874076
2036,46.84454535797181,81.96478622489917,1.2830268179596631,84.71239474664324
2037,47.776250651907574,79.21620308970068,0.0,84.63416720188191
2038,48.4610554014375,76.18183051192194,0.0,84.17562107287945
2039,49.13673091049608,73.492146655543,0.0,83.60352449638616
2040,49.43947185325925,69.2734881086822,0.0,82.86654583686087
2041,50.1236535408542,66.54902712774127,0.0,82.28743699638703
2042,50.824717579634644,63.92276455175425,0.0,81.69301101775531
2043,51.55047190759251,61.361231398010524,0.0,81.09540084305151
2044,52.28882902566779,58.922627104603514,0.0,80.47543213449764
2045,52.51454789587824,56.75674694179431,0.0,79.74117008743
2046,53.23636922454959,54.539866862708266,0.0,79.12676100682249
2047,53.96967136548609,52.38020275279992,0.0,78.50831079573463
2048,54.71253344832173,50.275176298747695,0.0,77.88729418674369
2049,55.46482219164279,48.21517855251178,0.0,77.26678590176196
