,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,32.51770214875117,22.499999999999996,0,44.54862621809658,102.9070975838183,0,6.0,282.3271529001279,0,6.0,349.60543569397873,0,6.0,395.7566392376683,0,2204.4246113702816,8046.403756031343
1,1,30.10612952133421,13.9,1,32.51770214875117,22.499999999999996,1,44.54862621809658,102.9070975838183,1,6.0,282.3271529001279,1,6.0,349.60543569397873,1,6.0,395.7566392376683,1,2204.4246113702816,8046.403756031344
2,2,30.10612952133421,13.9,2,32.51770214875117,22.499999999999996,2,44.54862621809658,102.9070975838183,2,6.0,282.3271529001279,2,6.0,349.60543569397873,2,6.0,395.75663923766837,2,2204.4246113702816,8046.403756031344
3,3,24.385964912280706,13.9,3,32.51770214875117,22.499999999999996,3,44.54862621809658,102.9070975838183,3,6.0,282.3271529001279,3,6.0,349.60543569397873,3,6.0,395.7566392376683,3,2204.4246113702816,8046.403756031343
4,4,24.385964912280706,13.9,4,32.51770214875117,22.499999999999996,4,44.54862621809658,102.9070975838183,4,6.0,282.3271529001279,4,6.0,349.60543569397873,4,6.0,395.7566392376683,4,2204.4246113702816,8046.403756031343
5,5,24.385964912280706,13.9,5,32.51770214875117,22.499999999999996,5,44.54862621809658,102.9070975838183,5,6.0,282.3271529001279,5,6.0,349.60543569397873,5,6.0,395.75663923766837,5,2204.4246113702816,8046.403756031344
6,6,24.385964912280706,13.9,6,32.51770214875117,22.499999999999996,6,44.54862621809658,102.9070975838183,6,6.0,282.3271529001279,6,6.0,349.60543569397873,6,6.0,395.7566392376683,6,2204.4246113702816,8046.403756031343
7,7,24.385964912280706,13.9,7,32.51770214875117,22.499999999999996,7,44.54862621809658,102.9070975838183,7,6.0,282.3271529001279,7,6.0,349.60543569397873,7,6.0,395.75663923766837,7,2204.4246113702816,8046.403756031344
8,8,24.385964912280706,13.9,8,32.51770214875117,22.499999999999996,8,44.54862621809658,102.9070975838183,8,6.0,282.3271529001279,8,6.0,349.60543569397873,8,6.0,395.7566392376683,8,2204.4246113702816,8046.403756031343
9,9,24.385964912280706,13.9,9,32.51770214875117,22.499999999999996,9,44.54862621809658,102.9070975838183,9,6.0,282.3271529001279,9,6.0,349.60543569397873,9,6.0,395.7566392376683,9,2204.4246113702816,8046.403756031343
10,10,24.385964912280706,13.9,10,32.51770214875117,22.499999999999996,10,44.54862621809658,102.9070975838183,10,6.0,282.3271529001279,10,6.0,349.60543569397873,10,6.0,395.7566392376683,10,2204.4246113702816,8046.403756031344
11,11,24.385964912280706,13.9,11,32.51770214875117,22.499999999999996,11,44.54862621809658,102.9070975838183,11,6.0,282.3271529001279,11,6.0,349.60543569397873,11,6.0,395.7566392376683,11,2204.4246113702816,8046.403756031343
12,12,24.385964912280706,13.9,12,32.51770214875117,22.499999999999996,12,44.54862621809658,102.9070975838183,12,6.0,282.3271529001279,12,6.0,349.60543569397873,12,6.0,395.75663923766837,12,2204.4246113702816,8046.403756031343
13,13,24.385964912280706,13.9,13,32.51770214875117,22.499999999999996,13,44.54862621809658,102.9070975838183,13,6.0,282.3271529001279,13,6.0,349.60543569397873,13,6.0,395.7566392376683,13,2204.4246113702816,8046.403756031344
14,14,24.385964912280706,13.9,14,32.51770214875117,22.499999999999996,14,44.54862621809658,102.9070975838183,14,6.0,282.3271529001279,14,6.0,349.60543569397873,14,6.0,395.75663923766837,14,2204.4246113702816,8046.403756031344
15,15,24.385964912280706,13.9,15,32.51770214875117,22.499999999999996,15,44.54862621809658,102.9070975838183,15,6.0,282.3271529001279,15,6.0,349.60543569397873,15,6.0,395.7566392376683,15,2204.4246113702816,8046.403756031344
16,16,24.385964912280706,13.9,16,32.51770214875117,22.499999999999996,16,44.54862621809658,102.9070975838183,16,6.0,282.3271529001279,16,6.0,349.60543569397873,16,6.0,395.75663923766837,16,2204.4246113702816,8046.403756031344
17,17,24.385964912280706,13.9,17,32.51770214875117,22.499999999999996,17,44.54862621809658,102.9070975838183,17,6.0,282.3271529001279,17,6.0,349.60543569397873,17,6.0,395.7566392376683,17,2204.4246113702816,8046.403756031343
18,18,24.385964912280706,13.9,18,32.51770214875117,22.499999999999996,18,44.54862621809658,102.9070975838183,18,6.0,282.3271529001279,18,6.0,349.60543569397873,18,6.0,395.7566392376683,18,12065.605634047017,8046.403756031343
19,19,30.10612952133421,13.9,19,32.51770214875117,22.499999999999996,19,44.54862621809658,102.9070975838183,19,6.0,282.3271529001279,19,6.0,349.60543569397873,19,6.0,395.7566392376683,19,12065.605634047017,8046.403756031344
20,20,30.10612952133421,13.9,20,32.51770214875117,22.499999999999996,20,44.54862621809658,102.9070975838183,20,6.0,282.3271529001279,20,6.0,349.60543569397873,20,6.0,395.7566392376683,20,12065.605634047017,8046.403756031343
21,21,30.10612952133421,13.9,21,32.51770214875117,22.499999999999996,21,44.54862621809658,102.9070975838183,21,6.0,282.3271529001279,21,6.0,349.60543569397873,21,6.0,395.75663923766837,21,12065.605634047017,8046.403756031343
22,22,24.385964912280706,13.9,22,32.51770214875117,22.499999999999996,22,44.54862621809658,102.9070975838183,22,6.0,282.3271529001279,22,6.0,349.60543569397873,22,6.0,395.7566392376683,22,12065.605634047017,8046.403756031344
23,23,30.10612952133421,13.9,23,32.51770214875117,22.499999999999996,23,44.54862621809658,102.9070975838183,23,6.0,282.3271529001279,23,6.0,349.60543569397873,23,6.0,395.7566392376683,23,12065.605634047017,8046.403756031343
24,24,30.10612952133421,13.9,24,32.51770214875117,22.499999999999996,24,44.54862621809658,102.9070975838183,24,6.0,282.3271529001279,24,6.0,349.60543569397873,24,6.0,395.75663923766837,24,12065.605634047017,8046.403756031344
25,25,24.385964912280706,13.9,25,32.51770214875117,22.499999999999996,25,44.54862621809658,102.9070975838183,25,6.0,282.3271529001279,25,6.0,349.60543569397873,25,6.0,395.7566392376683,25,12065.605634047017,8046.403756031344
26,26,24.385964912280706,13.9,26,32.51770214875117,22.499999999999996,26,44.54862621809658,102.9070975838183,26,6.0,282.3271529001279,26,6.0,349.60543569397873,26,6.0,395.75663923766837,26,12065.605634047017,8046.403756031343
27,27,24.385964912280706,13.9,27,32.51770214875117,22.499999999999996,27,44.54862621809658,102.9070975838183,27,6.0,282.3271529001279,27,6.0,349.60543569397873,27,6.0,395.75663923766837,27,12065.605634047017,8046.403756031344
28,28,24.385964912280706,13.9,28,32.51770214875117,22.499999999999996,28,44.54862621809658,102.9070975838183,28,6.0,282.3271529001279,28,6.0,349.60543569397873,28,6.0,395.7566392376683,28,12065.605634047017,8046.403756031343
29,29,24.385964912280706,13.9,29,32.51770214875117,22.499999999999996,29,44.54862621809658,102.9070975838183,29,6.0,282.3271529001279,29,19.012799903590576,349.60543569397873,29,312.60531139013466,395.7566392376683,29,12065.605634047017,8046.403756031344
30,30,24.385964912280706,13.9,30,32.51770214875117,22.499999999999996,30,44.54862621809658,102.9070975838183,30,19.578818044027123,282.3271529001279,30,265.5325636983268,349.60543569397873,30,312.60531139013466,395.7566392376683,30,12065.605634047017,8046.403756031343
31,31,24.385964912280706,13.9,31,32.51770214875117,22.499999999999996,31,44.54862621809658,102.9070975838183,31,192.60727226872123,282.3271529001279,31,265.5325636983268,349.60543569397873,31,312.60531139013466,395.7566392376683,31,12065.605634047017,8046.403756031343
32,32,34.75000000000001,13.9,32,32.51770214875117,22.499999999999996,32,44.54862621809658,102.9070975838183,32,192.60727226872126,282.3271529001279,32,265.5325636983268,349.60543569397873,32,312.60531139013466,395.75663923766837,32,12065.605634047017,8046.403756031344
33,33,34.75000000000001,13.9,33,32.51770214875117,22.499999999999996,33,44.54862621809658,102.9070975838183,33,192.60727226872123,282.3271529001279,33,265.5325636983268,349.60543569397873,33,312.60531139013466,395.7566392376683,33,12065.605634047017,8046.403756031343
34,34,34.75000000000001,13.9,34,32.51770214875117,22.499999999999996,34,44.54862621809658,102.9070975838183,34,192.60727226872126,282.3271529001279,34,265.5325636983268,349.60543569397873,34,312.60531139013466,395.75663923766837,34,10316.0928171102,8046.403756031343
35,35,34.75000000000001,13.9,35,32.51770214875117,22.499999999999996,35,44.54862621809658,102.9070975838183,35,156.0118905376642,282.3271529001279,35,227.03034196206946,349.60543569397873,35,267.2775412385652,395.7566392376683,35,10316.0928171102,8046.403756031344
36,36,34.75000000000001,13.9,36,32.51770214875117,22.499999999999996,36,44.54862621809658,102.9070975838183,36,156.0118905376642,282.3271529001279,36,227.03034196206943,349.60543569397873,36,267.27754123856516,395.75663923766837,36,10316.0928171102,8046.403756031343
37,37,34.75000000000001,13.9,37,32.51770214875117,22.499999999999996,37,44.54862621809657,102.9070975838183,37,192.60727226872126,282.3271529001279,37,265.5325636983268,349.60543569397873,37,312.60531139013466,395.75663923766837,37,10316.0928171102,8046.403756031344
38,38,34.75000000000001,13.9,38,32.51770214875117,22.499999999999996,38,54.99830397295874,102.9070975838183,38,431.15629883491505,282.3271529001279,38,269.5325636983268,349.60543569397873,38,316.60531139013466,395.75663923766837,38,12065.605634047017,8046.403756031344
39,39,34.75000000000001,13.9,39,32.51770214875117,22.499999999999996,39,54.99830397295874,102.9070975838183,39,431.15629883491505,282.3271529001279,39,591.0801835489623,349.60543569397873,39,694.3098933994182,395.7566392376683,39,14116.497817598847,8046.403756031343
40,40,34.75000000000001,13.9,40,32.51770214875117,22.499999999999996,40,54.99830397295874,102.9070975838183,40,431.15629883491505,282.3271529001279,40,613.3428696385593,349.60543569397873,40,694.3098933994182,395.7566392376683,40,14116.497817598849,8046.403756031344
41,41,34.75000000000001,13.9,41,32.51770214875117,22.499999999999996,41,54.99830397295874,102.9070975838183,41,495.31079456162786,282.3271529001279,41,613.3428696385593,349.60543569397873,41,694.3098933994182,395.7566392376683,41,14116.497817598849,8046.403756031343
