,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,6.114948023077358,0.0,0.0,8.128825057827475,2.9589359248286113
2020,6.042600264243672,0.0,0.0,8.097658259990972,2.9428913728893527
2021,5.9695199661030305,0.0,0.0,8.058092126264246,2.931979763688806
2022,5.895709969900295,0.0,0.0,8.018340338283956,2.9158765258794412
2023,5.821191905738411,0.0,0.0,7.978326307411621,2.899328868140081
2024,5.7459769693248255,0.0,0.0,7.938116921029997,2.882589156839865
2025,5.902984537453385,0.0,0.0,8.822626366511399,2.845303393509464
2026,6.055601759184279,0.0,0.0,8.735051188105883,2.822663743104231
2027,6.203973222183228,0.0,0.0,8.647702217968753,2.799987851346558
2028,6.348218945909291,0.0,0.0,8.560635896599106,2.780045557125571
2029,6.489893735662624,0.0,0.0,8.520405650961349,2.7577040627363454
2030,6.630495075168174,0.0,0.0,8.593049124663937,2.749417907647847
2031,6.767626549314636,0.0,0.0,8.552684545650624,2.7358966053617246
2032,6.901783182820211,0.0,0.0,8.512046311038441,2.713066595046065
2033,7.032932554681238,0.0,0.0,8.471080014387711,2.6901763687720894
2034,7.161045302305572,0.0,0.0,8.429729488212221,2.6669788428666745
2035,7.271295042799959,0.0,0.0,8.582129588593652,2.682401805455615
2036,7.378694840757905,0.0,0.0,8.540172528401204,2.655491257748493
2037,7.483037862959391,0.0,0.0,8.499183141406927,2.628664069501803
2038,7.503905589923407,0.0,0.0,9.15888905645289,2.6155251054369897
2039,7.534702168021059,0.0,0.0,8.537836172324957,2.5918173123182613
2040,7.5487404057096095,0.0,0.0,8.64112309636586,2.6134410684383473
2041,7.5597401357819765,0.0,0.0,8.568869723630623,2.5850609591059186
2042,7.566383420451468,0.0,0.0,8.498334865733229,2.577795533458442
2043,7.5697729020718825,0.0,0.0,8.429401710437585,2.550323420688952
2044,7.569805903174625,0.0,0.0,8.362126736310302,2.523325015196972
2045,7.376948681782273,0.0,0.0,8.671247592727498,2.5284301304637786
2046,7.185452026056512,0.0,0.0,8.586857570180058,2.498611069860541
2047,6.995275863464689,0.0,0.0,8.500055924144535,2.469114829203594
2048,6.806375967108987,0.0,0.0,8.411510039548071,2.4399901184120463
2049,6.618629534078741,0.0,0.0,8.369069027022631,2.411181754502965
