,Consumption saving insulation (TWh/year),Consumption saving heater (TWh/year)
2019,1.844353010033476,0.017765580657607555
2020,1.8753946290256152,0.03614730146519184
2021,2.0509064655611033,0.2172205975130608
2022,1.9867712853927089,0.221796135872478
2023,1.627356740830004,0.23783981191477824
2024,1.5766423956806184,0.2756108477196984
2025,1.9235569334138378,1.9749143651700725
2026,1.693984806330284,1.9932007866976977
2027,1.6006661655485959,2.0133338166683927
2028,1.977730467504795,2.0325182875810897
2029,1.8433899440068664,2.063017142421609
2030,1.7331319025784786,2.091625913462731
2031,1.621228621293594,2.120445504821219
2032,1.5296658388249165,2.1481943111452915
2033,1.4352545201727056,2.1749540453428864
2034,1.7712284683711799,2.2007107412142117
2035,1.6464113944282603,2.107447197447216
2036,1.519564504221345,2.125127382778516
2037,1.4020904898793258,2.141895779695121
2038,1.3043881962881188,1.76518597149689
2039,1.2194210547069846,1.569631478233757
2040,1.1563368332791224,1.4557056830462298
2041,1.0817546825157442,1.4329967548417677
2042,1.0140841492480968,1.4086897778324452
2043,0.9525056860401628,1.4076663600096864
2044,0.8963612355980843,1.3787146856920776
2045,0.855841883003428,-0.07349924799027156
2046,0.8084247086683687,-0.04544488020276701
2047,0.7645821218009673,-0.03585806382928634
2048,0.7244160783299353,-0.02681071694097328
2049,0.686519426125815,-0.01768895317055428
