,hour,elec_demand,heat_elec,heat_gas,nb_year,date,year
0,631,82.54,24.728982191554234,74.4308099422633,0,2006-01-27 07:00:00,2020
0,631,68.10884532777648,25.754755273128776,69.51100360585171,0,2006-01-27 07:00:00,2025
0,631,77.08879130423063,33.1946078339966,51.2823976419884,0,2006-01-27 07:00:00,2030
0,631,89.25811973560224,41.89460042106737,33.29608602577625,0,2006-01-27 07:00:00,2035
0,631,101.33172682350846,49.545037095985336,16.444812107260795,0,2006-01-27 07:00:00,2040
0,631,111.56691099711557,55.39215816509037,2.788241183123915,0,2006-01-27 07:00:00,2045
0,631,116.17497096316772,56.36466928461752,2.840009865495533,0,2006-01-27 07:00:00,2050
