,Electricity,Natural gas,Oil fuel,Wood fuel
2020,38.99302728551144,125.99935138537198,36.34524055231838,72.19341658684618
2025,39.80231779836339,115.27677971731185,23.905947658399032,79.29202287894574
2030,42.21893495907376,108.81034115508746,13.492277221972902,81.48861528681257
2035,46.184576303200465,101.24863757916407,4.620773274078786,82.26715302990378
2040,50.060554563180034,89.88153906333143,0.0,81.70328859022355
2045,52.705505702928164,77.31116754924547,0.0,79.5272205219012
2050,55.78574127065827,67.48645102966509,0.0,77.18901213733028
