,hour,demand,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,methanization,ocgt,ccgt,nuclear,h2_ccgt,phs,battery1,battery4,methanation,pyrogazification,electrolysis,natural_gas,coal,hydrogen,methane,geothermal,central_gas_boiler,central_wood_boiler,uiom,CTES,phs_in,battery1_in,battery4_in,hydrogen_in,methane_in,CTES_in,phs_charge,battery1_charge,battery4_charge,hydrogen_charge,methane_charge,CTES_charge,elec_demand,CH4_demand,H2_demand,heat_elec,heat_gas,electrolysis_elec,methanation_elec,carbon_content,carbon_content_heat,date,date_only
0,0,,22.600829773627126,13.236685712100002,30.9067884784,0.0,0.0,4.6323526326,0.0,5.251741066331773,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,12.102508446178252,9.290618191174332,0.0,0.0,0.0,0.583,6.078408566445213,0.0,0.0,0.0,0.0,0.0,0.0,7.53629840051615,0.0,0.0,106.0748910119621,0.46871471155444355,0.0,28120.77132453408,125960.95428594416,0.0,85.24852103900432,8.46395069106089,4.566210045662101,16.4881677121618,8.46395069106089,15.128135557722814,0.0,0.0,0.0,2006-01-01 00:00:00,2006-01-01
1,1,,23.331056850425227,13.464,31.8857708856,0.0,0.0,4.3260973056,0.0,5.251741066331773,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,14.350288571928326,0.0,0.0,0.0,11.026633852349631,0.583,6.847115577213554,0.0,0.0,0.0,0.0,0.0,0.0,9.784078526266224,0.0,0.0,106.0748910119621,0.46871471155444355,0.0,28128.307622934593,125960.95428594416,0.0,84.06906432671482,9.43125934146785,4.566210045662101,18.372529736408858,9.43125934146785,17.937860714910407,0.0,0.0,0.0,2006-01-01 01:00:00,2006-01-01
2,2,,23.608663838298884,13.464,32.493574877600004,0.0,0.0,4.158523643400001,0.0,5.251741066331773,0.0,0.0,23.52773547516899,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,11.894641682937282,0.0,0.0,0.0,0.583,7.231469082597725,0.0,0.0,0.0,0.0,0.0,0.0,9.788898808833295,0.0,0.0,106.0748910119621,0.46871471155444355,0.0,28138.09170146086,125949.9276520918,0.0,79.30861176634863,9.914913666671328,4.566210045662101,19.31471074853239,9.914913666671328,17.94388606811924,0.0,0.0,0.0,2006-01-01 02:00:00,2006-01-01
3,3,,23.60262890377989,13.363457136300001,32.7108789172,0.0,0.0,3.9899868792000004,0.0,5.251741066331773,0.0,0.0,21.415835822776963,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,0.0,0.0,0.0,12.328645598231104,0.583,7.42364583528981,0.0,0.0,0.0,0.0,0.0,0.0,9.788898808833295,0.0,0.0,106.0748910119621,0.46871471155444355,0.0,28147.880600269695,125949.9276520918,0.0,77.13890159113761,10.156740829273067,4.566210045662101,19.78580125459416,10.156740829273067,17.94388606811924,0.0,0.0,0.0,2006-01-01 03:00:00,2006-01-01
4,4,,23.34312671946321,13.0356,32.5397358192,0.0,0.0,3.7973734344000003,0.0,5.251741066331773,0.0,0.0,28.486741505251924,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,14.064661259406408,0.0,0.0,0.0,0.583,8.192352846058151,0.0,0.0,0.0,7.040598067799532,0.0,0.0,9.788898808833295,0.0,0.0,106.0748910119621,0.46871471155444355,0.0,28157.66949907853,125937.59900649358,0.0,76.21809334239636,11.124049479680027,4.566210045662101,21.67016327884122,11.124049479680027,17.94388606811924,0.0,0.0,0.0,2006-01-01 04:00:00,2006-01-01
5,5,,23.131904011298474,12.736157136300001,32.692574818,0.0,0.0,3.7261064945999998,0.0,5.251741066331773,0.0,0.0,21.236741505251924,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,0.0,0.0,0.0,15.80067692058171,0.583,8.961059856826495,0.0,0.0,0.0,0.0,0.0,0.0,9.788898808833295,0.0,0.0,112.41142927298168,0.46871471155444355,0.0,28167.458397887363,125937.59900649358,0.0,75.57959789733115,12.091358130086986,4.566210045662101,23.55452530308828,12.091358130086986,17.94388606811924,0.0,0.0,0.0,2006-01-01 05:00:00,2006-01-01
6,6,,23.053449862551567,12.5569285758,32.7911001436,0.0,0.0,3.6192060366,0.0,5.251741066331773,0.0,0.0,21.585875321796216,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,0.0,0.0,0.0,17.97069649705083,0.583,9.92194362028692,0.0,0.0,0.0,0.0,0.0,0.0,9.788898808833295,0.0,0.0,112.41142927298168,0.46871471155444355,0.0,28177.247296696198,125921.798329573,0.0,75.66267387222854,13.300493943095683,4.566210045662101,25.90997783339711,13.300493943095683,17.94388606811924,0.0,0.0,0.0,2006-01-01 06:00:00,2006-01-01
7,7,,22.974995713804663,12.3689571363,32.878515130800004,0.3598681753657212,0.0,3.3524364425999997,0.0,5.251741066331773,0.0,0.0,23.255134416593464,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,19.272708242932303,0.0,0.0,0.0,0.583,10.498473878363177,0.0,0.0,0.0,0.0,0.0,0.0,9.788898808833295,0.0,0.0,112.41142927298168,0.46871471155444355,0.0,28187.036195505032,125903.82763307594,0.0,77.2460209473446,14.025975430900903,4.566210045662101,27.323249351582408,14.025975430900903,17.94388606811924,0.0,0.0,0.0,2006-01-01 07:00:00,2006-01-01
8,8,,22.781877809196903,12.3339857121,32.523254894,5.44033127531561,0.0,3.342805809,0.0,5.251741066331773,0.0,0.0,18.27068803855354,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,0.0,0.0,0.0,17.10268866646318,0.583,9.53759011490275,0.0,0.0,0.0,0.0,0.0,0.0,9.788898808833295,0.0,0.0,112.41142927298168,0.46871471155444355,0.0,28196.825094313866,125903.82763307594,0.0,76.74905747004681,12.816839617892203,4.566210045662101,24.967796821273577,12.816839617892203,17.94388606811924,0.0,0.0,0.0,2006-01-01 08:00:00,2006-01-01
9,9,,22.715493529487983,12.1788,31.0572144972,14.08903664206164,0.0,3.5479390968,0.0,5.251741066331773,0.0,0.0,13.57168893253137,0.0,0.0,0.0,0.0,0.0,0.0,14.355108854495395,0.0,0.0,0.0,16.014450783065655,0.0,9.416660881912184,0.0,0.0,0.0,0.0,0.0,0.0,9.788898808833295,0.0,0.0,112.41142927298168,0.46871471155444355,0.0,28206.6139931227,125886.72494440948,0.0,79.21628662996174,11.849530967485245,4.566210045662101,23.083434797026513,11.849530967485245,17.94388606811924,0.0,0.0,0.0,2006-01-01 09:00:00,2006-01-01
