,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,6.030931486816755,2.1634465353394785,2.662763999633933,9.948112416991663,6.664135216095174
2020,5.874409905937329,2.320010091251753,2.7235641174871574,9.887666922804126,6.8534664888509225
2021,5.687630406179084,2.684768308178145,2.2681653156717188,9.737059965669197,7.378765418441503
2022,5.505100547909712,2.586656737394756,2.3356058016370294,9.677821756585374,7.219523300341507
2023,5.3492499307741594,1.9928388019631689,2.3908725026199256,9.560533922757845,6.137389668087162
2024,5.088802938873391,3.7653523301987546,2.3884498731580583,9.610318791171371,10.410980262588836
2025,4.706848914208451,3.984044017474168,2.389290599596525,9.365090082912293,10.805363761404674
2026,4.334189649235078,4.373307320940805,2.4128036545703915,9.183677243832886,11.162456798989773
2027,3.9992976512562617,4.08773515159316,2.4353609962559597,8.9980076707725,10.563813222632515
2028,3.596777706937255,4.408295611441225,2.45735741657165,8.810110910331055,11.277883756159284
2029,3.2378150926546634,4.092751713168175,2.499238563562241,8.676302311818453,10.614506749721563
2030,2.9176237400165195,3.847047607224806,2.577002340165629,8.625549176178195,10.084562164461211
2031,2.6312532750908617,3.5952561877390115,2.635502759325734,8.495842081180855,9.528681064350419
2032,2.3747685095606736,3.3634258952458382,2.6909890257381477,8.35867764703034,9.011521804064085
2033,2.1446664347750444,3.1499006153921316,2.7430850125585375,8.214537247207772,8.529894616995815
2034,1.937838555194768,3.4101911034954933,2.7914829329850672,8.06405756271941,9.206335495183868
2035,1.747678623235523,3.2040799221837104,2.8401904440276438,7.933796071896233,8.726398145482147
2036,1.5751950697576655,2.9592809083936245,2.8317873112126435,7.886821214876066,8.143073166971204
2037,1.4182176843662933,2.7383135291749374,2.8213843495353137,7.837614463851478,7.613239889613094
2038,1.2708477960877023,2.5290963751990687,2.8665412965515626,7.9980940085304475,7.139162728789568
2039,1.1373565917258284,2.3572116886976,3.1962078982850417,8.416854251147667,6.739083842131363
2040,1.0127957695612406,2.2497203578358587,3.2174712507863807,8.379517620484044,6.499666191089931
2041,0.8985093216886573,2.103897320083055,3.2614737764226818,8.170927525710031,6.156856245643035
2042,0.7937747419207631,1.9753163863606373,3.297437930110978,8.114470723436085,5.892930890388305
2043,0.6977090764596684,1.8491431044265325,3.31161554388411,8.027501106064298,5.591793847046975
2044,0.6094499235819723,1.732149067539153,3.36484420246599,8.062491195444835,5.310207368263495
2045,0.526361428594199,1.6302387619463647,3.3635248207554924,7.921898265808878,5.0655687700786745
2046,0.44956305202352714,1.5261674301387484,3.35963685404673,7.805549631619178,4.81022976999598
2047,0.37835282916522384,1.428665080304775,3.355176908348052,7.690942615043568,4.568824097895728
2048,0.31210839750157504,1.3370116235295655,3.3503636615625405,7.579964509146829,4.339622339326505
2049,0.2502914472141186,1.2518835885939485,3.3698719645134463,7.522013858258691,4.129792219742754
