,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,39.893325397392324,129.97314125469018,37.191452155726935,74.27034607168494
2020,39.81745393074288,128.0382977462554,34.49386907100084,76.00924031027978
2021,39.9609646003876,126.23837202160325,31.89435810987695,77.39813033353653
2022,40.058106602741006,123.27353525279763,29.176647568403766,78.7002484749014
2023,40.239696476598574,121.24011916665161,26.794708990915147,80.147423945503
2024,40.33574076160411,118.62642342293375,24.331645467590775,81.50539471775862
2025,40.87410989498223,116.10232312590297,21.90470260079252,82.80821414283585
2026,41.115491018225214,113.65993323337217,19.600821508198035,83.80264332925009
2027,41.41740137045308,111.23050123774526,17.411144095632228,84.70982096031688
2028,41.658453487379,108.69060461712478,15.3068267494097,85.32447857867416
2029,41.966647759661804,106.17302044606753,13.28966731506789,85.87453423879676
2030,42.50336346866791,102.72037593352663,11.323424360830169,86.44522850908977
2031,43.193615668399474,99.82705121814853,9.444073392498002,87.05817285543081
2032,43.950310152962466,96.89724986681011,7.653388306922083,87.63137676819741
2033,44.77025099849414,93.94438121023765,5.952405218882926,88.16654215813017
2034,45.610001817142454,90.71796455435953,4.333240444517919,88.54878092411673
2035,46.34653722751549,86.17085126727,2.802390616934551,88.79292683937693
2036,47.25632427439441,83.3006873756181,1.3624325078405002,89.0633751033311
2037,48.20115784468834,80.50556842912165,0.0,89.24413261366277
2038,48.901380506300946,77.40891561598055,0.0,88.92156045418683
2039,49.59331313638935,74.65720160182313,0.0,88.44176930906156
2040,49.89869247656697,70.3470311574348,0.0,87.77123510700983
2041,50.59688003443729,67.54813742100751,0.0,87.24161060911145
2042,51.30872206132822,64.8376579569773,0.0,86.64747492717628
2043,52.04661942669089,62.190917427947554,0.0,86.02848500801001
2044,52.7987822002212,59.669324999654116,0.0,85.35978172965231
2045,53.03698137379089,57.42592446891407,0.0,84.55687405580511
2046,53.773059049310135,55.13354160701619,0.0,83.85303698995376
2047,54.52213449572874,52.90251349566055,0.0,83.12352916305565
2048,55.28235935427572,50.73066884667376,0.0,82.37016981907452
2049,56.053650340117436,48.60845572778794,0.0,81.59642643142382
