,hour,demand,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,methanization,ocgt,ccgt,nuclear,h2_ccgt,phs,battery1,battery4,methanation,pyrogazification,electrolysis,natural_gas,coal,hydrogen,methane,geothermal,central_gas_boiler,central_wood_boiler,uiom,CTES,phs_in,battery1_in,battery4_in,hydrogen_in,methane_in,CTES_in,phs_charge,battery1_charge,battery4_charge,hydrogen_charge,methane_charge,CTES_charge,elec_demand,CH4_demand,H2_demand,heat_elec,heat_gas,electrolysis_elec,methanation_elec,carbon_content,carbon_content_heat,date,date_only
0,0,,24.155740036831414,13.236685712100002,30.9067884784,0.0,0.0,4.6323526326,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,10.99872256217786,4.601691572440617,0.0,0.0,0.0,0.0,6.646468894552868,0.0,0.0,0.0,0.0,0.0,0.0,6.43251251651576,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30388.86412456369,129153.98828981,0.0,88.18316365720909,1.0796946459309094,4.566210045662101,19.42281033036657,1.0796946459309094,13.748403202722326,0.0,0.0,0.0,2006-01-01 00:00:00,2006-01-01
1,1,,24.936205869797128,13.464,31.8857708856,0.0,0.0,4.3260973056,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,13.018383510626165,0.0,0.0,0.0,5.484681691353047,0.0,7.406065339644623,0.0,0.0,0.0,0.0,0.0,0.0,8.452173464964064,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30395.296637080206,129153.98828981,0.0,87.33909467271442,1.2030883197515847,4.566210045662101,21.642560082408465,1.2030883197515847,16.272979388282707,0.0,0.0,0.0,2006-01-01 01:00:00,2006-01-01
2,2,,25.232911888941118,13.464,32.493574877600004,0.0,0.0,4.158523643400001,0.0,3.124471968043161,0.0,0.0,26.054952842526376,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,5.926176750809264,0.0,0.0,0.0,0.0,7.785863562190501,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30403.74881054517,129148.50360811866,0.0,82.74633597624566,1.2647851566619224,4.566210045662101,22.75243495842941,1.2647851566619224,18.657627276221838,0.0,0.0,0.0,2006-01-01 02:00:00,2006-01-01
3,3,,25.22646175809016,13.363457136300001,32.7108789172,0.0,0.0,3.9899868792000004,0.0,3.124471968043161,0.0,0.0,24.027315318415013,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,6.146924280537372,0.0,7.975762673463441,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30414.108702320485,129148.50360811866,0.0,80.66047273298334,1.295633575117091,4.566210045662101,23.307372396439888,1.295633575117091,18.657627276221838,0.0,0.0,0.0,2006-01-01 03:00:00,2006-01-01
4,4,,24.94910613149904,13.0356,32.5397358192,0.0,0.0,3.7973734344000003,0.0,3.124471968043161,0.0,0.0,24.410864103159707,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,7.029914399449802,0.0,0.0,0.0,0.0,8.735359118555197,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30424.4685940958,129142.35668383812,0.0,80.07505221203691,1.4190272489377662,4.566210045662101,25.527122148481773,1.4190272489377662,18.657627276221838,0.0,0.0,0.0,2006-01-01 04:00:00,2006-01-01
5,5,,24.72335155171557,12.736157136300001,32.692574818,0.0,0.0,3.7261064945999998,0.0,3.124471968043161,0.0,0.0,24.55138177037281,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,7.912904518362235,0.0,9.494955563646954,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30434.828485871116,129142.35668383812,0.0,79.77194449476654,1.5424209227584416,4.566210045662101,27.746871900523676,1.5424209227584416,18.657627276221838,0.0,0.0,0.0,2006-01-01 05:00:00,2006-01-01
6,6,,24.639499850653134,12.5569285758,32.7911001436,0.0,0.0,3.6192060366,0.0,3.12447196804316,0.0,0.0,25.325147798976165,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,9.016642167002775,0.0,0.0,0.0,0.0,10.44445112001165,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30445.18837764643,129134.44377931976,0.0,80.27425512940746,1.6966630150342856,4.566210045662101,30.521559090576037,1.6966630150342856,18.657627276221838,0.0,0.0,0.0,2006-01-01 06:00:00,2006-01-01
7,7,,24.555648149590702,12.3689571363,32.878515130800004,0.3652807673492809,0.0,3.3524364425999997,0.0,3.124471968043161,0.0,0.0,27.245932649951506,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,9.678884756187099,0.0,11.014148453830467,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30455.548269421746,129134.44377931976,0.0,82.10914300036966,1.7892082703997922,4.566210045662101,32.186371404607456,1.7892082703997922,18.657627276221838,0.0,0.0,0.0,2006-01-01 07:00:00,2006-01-01
8,8,,24.349243962360102,12.3339857121,32.523254894,5.522156497617519,0.0,3.342805809,0.0,3.124471968043161,0.0,0.0,21.779125264472526,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,8.57514710754656,0.0,10.064652897465772,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30465.90816119706,129124.76489456357,0.0,81.19294486332831,1.634966178123948,4.566210045662101,29.411684214555088,1.634966178123948,18.657627276221838,0.0,0.0,0.0,2006-01-01 08:00:00,2006-01-01
9,9,,24.278292522999582,12.1788,31.0572144972,14.300942589864341,0.0,3.5479390968,0.0,3.124471968043161,0.0,0.0,17.981651381205086,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,7.6921569886341254,0.0,0.0,0.0,0.0,9.305056452374014,0.0,0.0,0.0,1.3624265163987346,0.0,0.0,10.359891775315369,0.0,0.0,97.74646193348195,1.1263935978403934,0.0,30476.268052972377,129116.18974745602,0.0,83.32478629544843,1.5115725043032728,4.566210045662101,27.191934462513196,1.5115725043032728,18.657627276221838,0.0,0.0,0.0,2006-01-01 09:00:00,2006-01-01
10,10,,24.36859435491297,12.036728575800002,30.401007696799997,22.050792171499797,0.0,3.7097343402000003,0.0,3.124471968043161,0.0,0.0,10.731651381205086,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,6.809166869721696,0.0,8.545460007282259,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,98.9726457982408,1.1263935978403934,0.0,30486.62794474769,129116.18974745602,0.0,84.64088124419601,1.3881788304825973,4.566210045662101,24.9721847104713,1.3881788304825973,18.657627276221838,0.0,0.0,0.0,2006-01-01 10:00:00,2006-01-01
11,11,,24.568548411292618,12.0957428637,31.1771681724,25.243229656972904,0.0,3.7501831752,0.0,3.124471968043161,0.0,0.0,7.243885232644143,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,5.926176750809264,0.0,7.785863562190501,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,98.9726457982408,1.1263935978403934,0.0,30496.987836523007,129109.38058058631,0.0,85.42113023598782,1.2647851566619224,4.566210045662101,22.75243495842941,1.2647851566619224,18.657627276221838,0.0,0.0,0.0,2006-01-01 11:00:00,2006-01-01
12,12,,24.729801682566524,12.2312571363,31.3229214056,24.360176685750012,0.0,3.8782711044,0.0,3.124471968043161,0.0,0.0,13.09418330576711,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,5.043186631896831,0.0,0.0,0.0,0.0,7.026267117098745,0.0,0.0,0.0,4.1946335207447305,0.0,0.0,10.359891775315369,0.0,0.0,98.9726457982408,1.1263935978403934,0.0,30507.347728298322,129103.4544038355,0.0,86.76435052341708,1.1413914828412468,4.566210045662101,20.532685206387512,1.1413914828412468,18.657627276221838,0.0,0.0,0.0,2006-01-01 12:00:00,2006-01-01
13,13,,24.833003776181826,12.3755142879,31.2190344928,18.87659630130383,0.0,3.9408705126,0.0,3.124471968043161,0.0,0.0,20.34418330576711,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,4.380944042712509,0.0,6.456569783279928,0.0,0.0,0.0,6.018900055994575,0.0,0.0,10.359891775315369,0.0,0.0,102.74781596691106,1.1263935978403934,0.0,30517.707620073637,129103.4544038355,0.0,86.91267534433635,1.0488462274757404,4.566210045662101,18.867872892356097,1.0488462274757404,18.657627276221838,0.0,0.0,0.0,2006-01-01 13:00:00,2006-01-01
14,14,,24.865254430436607,12.5263285758,30.880471231999998,11.156634102131873,0.0,3.6124646124,0.0,3.124471968043161,0.0,0.0,27.59418330576711,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,0.0,0.0,0.0,3.4979539238000763,0.0,5.6969733381881715,0.0,0.0,0.0,7.462,0.0,0.0,10.359891775315369,0.0,0.0,108.16482601730618,1.1263935978403934,0.0,30528.067511848953,129099.07345979278,0.0,84.51570898231375,0.9254525536550648,4.566210045662101,16.6481231403142,0.9254525536550648,18.657627276221838,0.0,0.0,0.0,2006-01-01 14:00:00,2006-01-01
15,15,,24.942656000648082,12.6815142879,31.528268781999998,3.198193369073225,0.0,3.46222611,0.0,3.124471968043161,0.0,0.0,27.30909012336323,0.0,0.0,0.0,0.0,0.0,0.0,14.92610182097747,4.160196512984401,0.0,0.0,0.0,0.0,6.266670672006989,0.0,0.0,0.0,0.0,0.0,0.0,10.359891775315369,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30538.427403624268,129095.57550586898,0.0,84.4643213967627,1.0179978090205715,4.566210045662101,18.312935454345624,1.0179978090205715,18.657627276221838,0.0,0.0,0.0,2006-01-01 15:00:00,2006-01-01
16,16,,24.903955215542346,12.8170285758,32.0385242976,0.0006088418988022697,0.0,3.409257432,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,14.735676391075575,5.043186631896831,0.0,0.0,0.0,0.0,7.026267117098745,0.0,0.0,0.0,0.0,0.0,0.0,10.169466345413475,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30548.787295399583,129095.57550586898,0.0,83.74977887399668,1.1413914828412468,4.566210045662101,20.532685206387512,1.1413914828412468,18.419595488844468,0.0,0.0,0.0,2006-01-01 16:00:00,2006-01-01
17,17,,24.749152075119397,12.8673,32.0681773756,0.0,0.0,3.368808597,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,11.709770023361294,0.0,0.0,0.0,6.146924280537372,0.0,7.975762673463441,0.0,0.0,0.0,0.0,0.0,0.0,7.1435599776991925,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30558.956761744997,129095.57550586898,0.0,87.41622551851778,1.295633575117091,4.566210045662101,23.307372396439888,1.295633575117091,14.637212529201618,0.0,0.0,0.0,2006-01-01 17:00:00,2006-01-01
18,18,,24.56209828044166,12.788614287900002,31.577553974,0.0,0.0,3.8195240076,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.549757879529574,7.029914399449802,0.0,0.0,0.0,0.0,8.735359118555197,0.0,0.0,0.0,0.0,0.0,0.0,0.9835478338674732,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30566.100321722697,129089.42858158845,0.0,94.8105932005297,1.4190272489377662,4.566210045662101,25.527122148481773,1.4190272489377662,6.937197349411967,0.0,0.0,0.0,2006-01-01 18:00:00,2006-01-01
19,19,,24.31699330810532,12.5634857121,30.8617214412,0.0,0.0,4.5187107504,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.444935129937221,0.0,0.0,1.1212749157248796,5.926176750809264,0.0,7.785863562190501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30567.083869556565,129089.42858158845,0.0,96.95474229938375,1.2647851566619224,4.566210045662101,22.75243495842941,1.2647851566619224,4.306168912421526,0.0,0.0,0.0,2006-01-01 19:00:00,2006-01-01
20,20,,24.033187550663243,12.3099428637,29.6667855384,0.0,0.0,4.794147876,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.413208699678802,0.0,0.0,1.1530013459832986,5.043186631896831,0.0,7.026267117098745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30565.962594640845,129083.50240483764,0.0,95.53755295416474,1.1413914828412468,4.566210045662101,20.532685206387512,1.1413914828412468,4.266510874598502,0.0,0.0,0.0,2006-01-01 20:00:00,2006-01-01
21,21,,23.63972956875491,11.9646,28.6325756664,0.0,0.0,4.7431053054,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203940217410681,4.380944042712509,0.0,0.0,0.0,0.0,6.456569783279928,0.0,0.0,0.0,0.0,0.0,0.0,0.6377301717485802,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30564.80959329486,129078.45921820574,0.0,91.47508526879156,1.0488462274757404,4.566210045662101,18.867872892356097,1.0488462274757404,6.504925271763351,0.0,0.0,0.0,2006-01-01 21:00:00,2006-01-01
22,22,,23.207570801740832,11.507785712100002,27.8104838296,0.0,0.0,4.7392530906,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,6.893095094733985,4.160196512984401,0.0,0.0,0.0,0.0,6.266670672006989,0.0,0.0,0.0,0.0,0.0,0.0,2.326885049071884,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30565.447323466607,129078.45921820574,0.0,87.64872456562335,1.0179978090205715,4.566210045662101,18.312935454345624,1.0179978090205715,8.61636886841748,0.0,0.0,0.0,2006-01-01 22:00:00,2006-01-01
23,23,,22.704460595366243,10.956985712100002,26.622440049999998,0.0,0.0,4.628500321200001,0.0,3.124471968043161,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.780188775077903,0.0,0.0,2.7860212705841976,6.146924280537372,0.0,7.975762673463441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.88062601730618,1.1263935978403934,0.0,30567.77420851568,129078.45921820574,0.0,91.68715070981887,1.295633575117091,4.566210045662101,23.307372396439888,1.295633575117091,2.225235968847379,0.0,0.0,0.0,2006-01-01 23:00:00,2006-01-01
