Technology,2020,2025,2030,2035,2040,2045,2050
offshore_f,5370,5370,4920,4695,4470,4245,4020
offshore_g,4395,4395,3720,3570,3420,3270,3120
onshore,1875,1875,1815,1785,1755,1725,1695
onshore_V110,1250,1250,1200,1125,1050,975,900
pv_g,1008,1008,895.5,835.5,775.5,745.5,715.5
pv_g_ns,1008,1008,895.5,835.5,775.5,745.5,715.5
pv_c,1450.5,1450.5,1300.5,1218,1135.5,1075.5,1015.5
river,2970,2970,2970,2970,2970,2970,2970
lake,1000,1000,1000,1000,1000,1000,1000
nuclear,10000,10000,10000,8086.5,7552.5,6757.5,6750
ocgt,600,600,600,600,600,600,600
ccgt,900,900,900,900,900,900,900
phs,1000,1000,1000,1000,1000,1000,1000
electrolysis,1000,1000,641,600,574,540,507
hydrogen,0,0,0,0,0,0,0
h2_ccgt,1100,1100,1100,1100,1100,1100,1100
methanization,370,370,370,370,370,370,370
battery1,0,0,0,0,0,0,0
battery4,0,0,0,0,0,0,0
methane,0,0,0,0,0,0,0
methanation,1700,1700,1341,1300,1274,1240,1207
pyrogazification,2500,2500,2500,2500,2500,2500,2500
natural_gas,0,0,0,0,0,0,0
coal,0,0,0,0,0,0,0
heat_pump,1050,1050,1050,1050,1050,1050,1050
resistive,100,100,100,100,100,100,100
gas_boiler,175,175,175,175,175,175,175
fuel_boiler,175,175,175,175,175,175,175
wood_boiler,175,175,175,175,175,175,175
geothermal,1350,1350,1350,1350,1350,1350,1350
central_gas_boiler,53,53,53,53,53,53,53
central_wood_boiler,703,703,703,703,703,703,703
uiom,0,0,0,0,0,0,0
CTES,0,0,0,0,0,0,0
