Technology,2025,2030,2035,2040,2045,2050
offshore_f,95,80,70,60,55,50.3
offshore_g,70,58,51,47,41,36
onshore,37.5,35,32.5,30,27.5,25
onshore_V110,27,27,27,27,27,27
pv_g,10.5,10,9.5,9,8.5,8
pv_g_ns,10.5,10,9.5,9,8.5,8
pv_c,20,20,18.5,17,16,15
river,14.85,14.85,14.85,14.85,14.85,14.85
lake,15,15,15,15,15,15
nuclear,100,100,100,100,100,100
ocgt,20,20,20,20,20,20
ccgt,40,40,40,40,40,40
phs,15,15,15,15,15,15
electrolysis,12,12,12,12,12,12
hydrogen,2,2,2,2,2,2
h2_ccgt,40,40,40,40,40,40
methanization,37,37,37,37,37,37
battery1,11,11,11,11,11,11
battery4,30,30,30,30,30,30
methane,0,0,0,0,0,0
methanation,59,59,59,59,59,59
pyrogazification,225,225,225,225,225,225
natural_gas,0,0,0,0,0,0
heat_pump,36.75,36.75,36.75,36.75,36.75,36.75
resistive,2,2,2,2,2,2
gas_boiler,3.5,3.5,3.5,3.5,3.5,3.5
fuel_boiler,3.5,3.5,3.5,3.5,3.5,3.5
wood_boiler,3.5,3.5,3.5,3.5,3.5,3.5
geothermal,0,0,0,0,0,0
central_gas_boiler,1.9,1.9,1.9,1.9,1.9,1.9
central_wood_boiler,1.9,1.9,1.9,1.9,1.9,1.9
uiom,0,0,0,0,0,0
CTES,0,0,0,0,0,0
