,Consumption saving insulation (TWh/year),Consumption saving heater (TWh/year)
2019,1.8427786754455329,0.06037812526590252
2020,1.8717874025697003,0.08406179451155042
2021,2.0453076988308765,0.3028394510791588
2022,1.978742066751287,0.31327478151634647
2023,1.6189842004319315,0.3334754743797984
2024,1.5666608801921138,0.3813644018734131
2025,1.915896453129406,0.4894014919174938
2026,1.6879911037430873,0.3225318211743894
2027,1.5965921538675734,0.35020670240136387
2028,1.9836069015921258,0.3773085421638329
2029,1.8517722698111652,0.4080289084155247
2030,1.7456297604487017,0.43588634629846856
2031,1.636285039464959,0.46512862280921674
2032,1.5470195397085715,0.4939377980608518
2033,1.45482320577634,0.5223606136658764
2034,1.881291749545729,0.5503305738995338
2035,1.7652839825235458,0.5156987492121806
2036,1.637179135607955,0.5409699607492194
2037,1.5179544517234778,0.5657551201486406
2038,1.4174004880618507,0.43110585106602345
2039,1.329288450948843,0.38158777631135427
2040,1.2832689600287328,0.3189409441598015
2041,1.2043515627573147,0.32524467902867116
2042,1.132097169165559,0.33112671261828613
2043,1.0658037614012583,0.34385495878993605
2044,1.0048508905957272,0.3475161758701117
2045,0.9486562860333638,0.3386952675274231
2046,0.8959755505699818,0.42103176036025214
2047,0.8470888045008211,0.4332568849111714
2048,0.8020405322496033,0.44489839819187893
2049,0.7595145030074327,0.4585807040163436
