,hour,elec_demand,heat_elec,heat_gas,nb_year,date,year
0,631,82.54,24.73456292715495,74.2597276322109,0,2006-01-27 07:00:00,2020
0,631,68.99649536108761,25.89761041544442,68.58365676792062,0,2006-01-27 07:00:00,2025
0,631,73.94984090972177,28.566067657496752,65.29226920426649,0,2006-01-27 07:00:00,2030
0,631,82.9000476852556,32.491278292214936,61.313963519049885,0,2006-01-27 07:00:00,2035
0,631,91.71428963159835,35.927330570180025,55.34052544859397,0,2006-01-27 07:00:00,2040
0,631,100.67487547374041,38.59582120745249,48.41196130172304,0,2006-01-27 07:00:00,2045
0,631,109.82856454743842,41.609288293132565,43.09438789559204,0,2006-01-27 07:00:00,2050
