,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,6.114948023077358,0.0,0.0,8.128825057827475,2.9589359248286113
2020,6.042600264243672,0.0,0.0,8.097658259990972,2.9428913728893527
2021,5.9695199661030305,0.0,0.0,8.058092126264246,2.931979763688806
2022,5.895709969900295,0.0,0.0,8.018340338283956,2.9158765258794412
2023,5.821191905738411,0.0,0.0,7.978326307411621,2.899328868140081
2024,5.7459769693248255,0.0,0.0,7.938116921029997,2.882589156839865
2025,5.902984537453381,0.0,0.0,8.822626366511447,2.8453033935094676
2026,6.055601759184272,0.0,0.0,8.73505118810593,2.822663743104234
2027,6.203973222183216,0.0,0.0,8.6477022179688,2.799987851346562
2028,6.348218945909276,0.0,0.0,8.560635896599154,2.780045557125573
2029,6.489893735662605,0.0,0.0,8.520405650961397,2.7577040627363476
2030,6.630724876941224,0.0,0.0,8.59007260715674,2.749125456162404
2031,6.768080862297654,0.0,0.0,8.54972303580015,2.7356277936305857
2032,6.90245676922339,0.0,0.0,8.509100730131046,2.71282021583833
2033,7.033820258267694,0.0,0.0,8.468151596978593,2.6899508594262787
2034,7.1621420361960615,0.0,0.0,8.42681978530552,2.6667727473977454
2035,7.2748667314913495,0.0,0.0,8.549959547917243,2.6784655235441397
2036,7.384678252985538,0.0,0.0,8.508214137284153,2.651864049208639
2037,7.491370491799112,0.0,0.0,8.467453076153374,2.625324207512513
2038,7.513893443742699,0.0,0.0,9.137382152954357,2.6123385151015937
2039,7.546422745074676,0.0,0.0,8.51470106253337,2.5888392750175195
2040,7.561561641326094,0.0,0.0,8.626364097033386,2.6123239917581116
2041,7.573622635245066,0.0,0.0,8.55437781179596,2.5840654381083112
2042,7.581292359859162,0.0,0.0,8.48411577708224,2.5768603041967446
2043,7.585670306561875,0.0,0.0,8.415462545322196,2.5494931358476807
2044,7.58665472782273,0.0,0.0,8.348475253315423,2.5225911369650103
2045,7.39436897933551,0.0,0.0,8.661973652818721,2.5248833034147466
2046,7.203402409934905,0.0,0.0,8.577935727292978,2.4953867856663208
2047,7.013716089118502,0.0,0.0,8.491448704405723,2.4661905851129853
2048,6.825267018189647,0.0,0.0,8.403182933116717,2.43734438538438
2049,6.6379362104173065,0.0,0.0,8.36094444695026,2.4087952251318057
