,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,39.893325397392324,129.97314125469018,37.191452155726935,74.27034607168494
2020,39.81745393074288,128.0382977462554,34.49386907100084,76.00924031027978
2021,39.9609646003876,126.23837202160325,31.89435810987695,77.39813033353653
2022,40.058106602741006,123.27353525279763,29.176647568403766,78.7002484749014
2023,40.239696476598574,121.24011916665161,26.794708990915147,80.147423945503
2024,40.276367800142125,118.3953755904089,24.183604217264534,81.23901442384218
2025,41.277209326950576,113.07928747175072,21.647872121893244,83.89802327208062
2026,41.92044937887044,107.99289651220876,19.230363982549626,85.9634856759578
2027,42.61892081513391,103.11931847818946,16.967807158008373,87.78845616694962
2028,43.24775566698707,98.346399625255,14.82515192061823,89.17437846735245
2029,43.93826206710838,93.77352580416841,12.801776419381778,90.37996343772335
2030,44.809129028920474,88.60252804628793,10.854097345582238,91.4603933870832
2031,45.835723105672635,84.15079613228681,9.012725784412794,92.4457578229219
2032,46.908004965125365,79.8800273788514,7.277813267252535,93.2767706429214
2033,48.02007735823055,75.77979903244103,5.643132996149151,93.96164164190769
2034,49.125316635705545,71.59493648701998,4.097437859670795,94.3823565352785
2035,49.97693579923221,66.55813257625692,2.644566079059281,94.5886998215499
2036,51.09589735883719,62.96731507501666,1.2836916123573918,94.81193764160419
2037,52.23169052852942,59.55332993116107,0.0,94.91201053160266
2038,53.026401184283976,56.25352579102701,0.0,94.42240448347003
2039,53.78154683016545,53.412336284766425,0.0,93.76966117720765
2040,54.05635553514727,49.52290025573836,0.0,92.93004951736341
2041,54.78353216623252,46.82459240709074,0.0,92.2303649794054
2042,55.508001631127705,44.29055768826136,0.0,91.48709717221033
2043,56.239541695588166,41.87703421360302,0.0,90.71809375932038
2044,56.96663211355311,39.637717447039144,0.0,89.9083914959285
2045,56.96205781984445,38.311846143290204,0.0,88.80230678484341
2046,57.44067068828978,36.942749403242296,0.0,87.82875773541778
2047,57.93533041900117,35.60299027017504,0.0,86.8646918808218
2048,58.44459721715281,34.290573220111675,0.0,85.91051096315928
2049,58.96767964636532,32.999910299236056,0.0,84.96717580000389
