,Average electricity price,Average CH4 price,Average H2 price,LCOE electricity,LCOE electricity value,LCOE electricity volume,LCOE CH4,LCOE CH4 value,LCOE CH4 volume,LCOE H2,LCOE H2 value,LCOE H2 volume,LCOE CH4 noSCC,LCOE CH4 volume noSCC
2020,21.645776462951677,13.899999999999986,,42.21752495954422,,,13.9,15.168613370801564,15.168613370801594,13.9,,,13.9,15.168613370801594
2025,32.57950753676239,22.499999999999957,50.385590025357544,42.3863560997871,42.388014389129374,42.387701390292406,22.5,25.612682707444023,25.612682707444023,22.5,106.17064554890035,106.20207599991815,22.5,25.612682707444023
2030,51.48275818983865,111.70691824046175,73.51603682811344,41.523556513035665,41.56638895250129,41.53279064456253,31.25105886218009,32.903166070662124,32.921611494788735,31.25105886218009,71.75346883830761,72.48929515136275,31.25105886218009,32.921611494788735
2035,96.10578592156727,490.6390573715308,56.8226543115256,45.35512910364982,47.011710884529236,43.781453124076364,37.418939531944346,39.8138134074986,44.25044160259729,37.418939531944346,31.371375482603696,87.15478710104054,37.418939531944346,44.25044160259729
2040,149.5957137828458,696.7832013252553,83.334453736454,53.00726326415944,53.75023929125319,49.68212248784878,45.92718279552824,49.11308469765893,56.455483094659066,45.92718279552824,33.87827840101102,98.44295177119866,45.92718279552824,56.455483094659066
2045,138.0586922014964,461.72805600656136,77.34155791661274,56.891451357632455,56.09652847103176,51.70297130254858,50.515381341237024,54.2782837617196,64.8485855002759,50.515381341237024,35.309671645492855,93.68435888956662,50.515381341237024,64.8485855002759
2050,5835.251541978312,14692.647639975408,3138.585402431037,491.7096109667058,158.9257095996325,144.5456686833658,55.24557764629443,58.884074151760004,100.0735138477679,55.24557764629443,1783.2983453933778,1959.429380126011,55.24557764629443,100.0735138477679
