,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,39.89332539739233,129.9731412546902,37.19145215572694,74.27034607168495
2020,39.8174539307429,128.03829774625547,34.49386907100086,76.00924031027982
2021,39.96096460038762,126.23837202160334,31.89435810987698,77.39813033353659
2022,40.05810660274102,123.27353525279771,29.1766475684038,78.70024847490146
2023,40.2396964765986,121.24011916665172,26.794708990915183,80.14742394550306
2024,40.27636780014217,118.39537559040909,24.18360421726459,81.23901442384232
2025,40.807454774744485,115.66264520991552,21.647872121893315,82.28146050911003
2026,40.99585152038905,112.98212255158569,19.23035379071452,82.89242513074936
2027,41.25451030610535,110.3468192747192,16.967758677392638,83.41392759665773
2028,41.460028634419714,107.63313881763985,14.825028247867609,83.64450508136841
2029,41.74104826518918,104.97503433497819,12.8015266969044,83.82323807191815
2030,42.232305530499936,101.42065796027771,10.853680737632144,84.01830839782936
2031,42.901125829858394,98.44710040335056,9.012117936255109,84.26946462687613
2032,43.64131576314631,95.47013247175036,7.277016884219168,84.49953193485835
2033,44.44698675399377,92.49476399948836,5.642189324564578,84.7014362533085
2034,45.27285627329852,89.26863771638011,4.096439207784525,84.76336648753339
2035,45.92801118121019,84.77212015273552,2.643656317496954,84.68800198865067
2036,46.81623440302691,81.94279524171385,1.2830833869582665,84.68179689764033
2037,47.73959307303331,79.2015687417384,0.0,84.60878135843105
2038,48.41873779746472,76.17261492334715,0.0,84.15317309669089
2039,49.08976451543963,73.48741773006284,0.0,83.5832357711568
2040,49.28545559167276,69.28096526876276,0.0,82.82207542431803
2041,49.95732487311534,66.56760814209335,0.0,82.24906741519867
2042,50.64689324102225,63.95148195088336,0.0,81.6602118158894
2043,51.36179618071736,61.39936554978993,0.0,81.06764055380191
2044,52.090408544120805,58.96905912156184,0.0,80.45182230894056
2045,52.32096386929936,56.812256448277665,0.0,79.7248426841113
2046,53.03400517654898,54.60382355146752,0.0,79.11323106155882
2047,53.75904413340158,52.452080338034555,0.0,78.49707051025435
2048,54.49415982751886,50.35446109035445,0.0,77.87782882879584
2049,55.23917951757764,48.301416897764355,0.0,77.25858716313783
