,Electricity,Natural gas,Oil fuel,Wood fuel,Heating
2017,0.079,0.227,0.324,0,0.101
2018,0.076606061,0.220606061,0.324,0,0.101
2019,0.074212121,0.214212121,0.324,0,0.101
2020,0.071818182,0.207818182,0.324,0,0.101
2021,0.069424242,0.201424242,0.324,0,0.101
2022,0.067030303,0.195030303,0.324,0,0.101
2023,0.064636364,0.188636364,0.324,0,0.101
2024,0.062242424,0.182242424,0.324,0,0.101
2025,0.059848485,0.175848485,0.324,0,0.101
2026,0.057454545,0.169454545,0.324,0,0.101
2027,0.055060606,0.163060606,0.324,0,0.101
2028,0.052666667,0.156666667,0.324,0,0.101
2029,0.050272727,0.150272727,0.324,0,0.101
2030,0.047878788,0.143878788,0.324,0,0.101
2031,0.045484848,0.137484848,0.324,0,0.097
2032,0.043090909,0.131090909,0.324,0,0.093
2033,0.04069697,0.12469697,0.324,0,0.089
2034,0.03830303,0.11830303,0.324,0,0.086
2035,0.035909091,0.111909091,0.324,0,0.082
2036,0.033515152,0.105515152,0.324,0,0.078
2037,0.031121212,0.099121212,0.324,0,0.074
2038,0.028727273,0.092727273,0.324,0,0.07
2039,0.026333333,0.086333333,0.324,0,0.066
2040,0.023939394,0.079939394,0.324,0,0.062
2041,0.021545455,0.073545455,0.324,0,0.058
2042,0.019151515,0.067151515,0.324,0,0.055
2043,0.016757576,0.060757576,0.324,0,0.051
2044,0.014363636,0.054363636,0.324,0,0.047
2045,0.011969697,0.047969697,0.324,0,0.043
2046,0.009575758,0.041575758,0.324,0,0.039
2047,0.007181818,0.035181818,0.324,0,0.035
2048,0.004787879,0.028787879,0.324,0,0.031
2049,0.002393939,0.022393939,0.324,0,0.027
2050,3.03577E-17,0.016,0.324,0,0.024
