,2019,2024,2029,2034,2039,2044,2049
Stock Direct electric (Million),8.964435388525516,8.92451700996673,9.17031889175684,9.6671173404356,10.167676581656318,10.343745057422325,10.345416003632788
Stock Heat pump (Million),1.6005446637025507,3.1546174188323954,4.786826954472601,7.33828295669059,9.951717027666104,12.523634138325896,15.061884521030816
Stock Oil fuel (Million),3.06353428437494,2.1587369359593263,1.3079735732972337,0.48206333535955875,0.0,0.0,0.0
Stock Wood fuel (Million),1.420909775309939,2.0062968461503248,2.6201942462053833,3.28384505590553,3.8181217367770133,4.208880628590694,4.543227107570927
Stock Natural gas (Million),12.022840431809412,11.749536191350856,11.012326441506506,9.84905634029317,8.376356768929174,6.8427335664145374,5.545301262289031
