Technology,2025,2030,2035,2040,2045,2050
phs,20,20,20,20,20,20
battery1,537,430,340,330,320,315
battery4,370,300,228,210,200,185
hydrogen,1,1,1,1,1,1
methane,1,1,1,1,1,1
