Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,28774.010934527123,32849.22248579154,36927.54394505604,41008.811403236046,45094.02588454905
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,14287.910556307532,15080.46109238661,15862.477846813032,16633.868698261205,17399.95360331063
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,7164.202913479311,7410.693754330359,7653.666440142524,7893.271708104388,8131.408095964298
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,2591.5979136828564,2688.645027854453,2782.0252166454356,2871.82357327669,2958.733509409583
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35230.837500050584,35026.6296031541,34813.52874152656,34592.24615317268,34360.20428009958
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17486.00181944299,17194.69567688736,16905.854947047166,16619.73105083138,16334.681681965823
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13806.16612309584,13250.211662954274,12713.757291470034,12196.262507291718,11694.690665089285
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18061.578011067413,17757.20653321789,17448.248242693528,17134.949341224677,16815.89007570898
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11694.997609639233,11323.267399915772,10959.169447266731,10602.614033171345,10252.5978264359
