Scenario,Technology,2050
Opt,offshore_f,39.7
Opt,offshore_g,19.7
Opt,onshore,75
Opt,pv_g,95.8
Opt,pv_c,65.8
Opt,phs,2.5
Opt,nuclear,14
N1,offshore_f,30.1
N1,offshore_g,15.3
N1,onshore,58
N1,pv_g,95.8
N1,pv_c,65.8
N1,phs,2.5
N1,nuclear,13.5
