Scenario,Technology,2020,2025,2030,2035,2040,2045,2050
S0,methanization,0,0,0,0,0,0,0
S0,pyrogazification,0,0,0,0,0,0,0
S1,methanization,0,0,14,19.25,24.5,29.75,35
S1,pyrogazification,0,0,0,0,0,0,0
S2,methanization,0,0,14,19.25,24.5,29.75,35
S2,pyrogazification,0,0,0,0,0,0.5,1
S2p,methanization,0,0,16.5,22.5,28.5,34.5,40.5
S2p,pyrogazification,0,0,0,2.4,4.8,7.2,9.6
S3,methanization,0,0,19,25.75,32.5,39.25,46
S3,pyrogazification,0,0,0,4.8,9.6,14.4,19.2
