,2025,2030,2035,2040,2045,2050
phs,0.5,0.5,0.5,0.5,0.5,0.5
offshore_f,2,3.3,6.7,6.7,6.7,6.7
offshore_g,1,1.7,3.4,3.4,3.4,3.4
onshore,12.5,11.6,11.6,11.6,11.6,11.6
pv_g,15.8,15.8,20,20,20,20
pv_c,5.8,5.8,15,15,15,15
nuclear,0,0,3.5,3.5,3.5,3.5
