Scenario,Technology,2025,2030,2035,2040,2045,2050
Opt,phs,0.5,0.5,0.5,0.5,0.5,0.5
Opt,offshore_f,2,3.3,9.1,9.1,9.1,9.1
Opt,offshore_g,1,1.7,4.5,4.5,4.5,4.5
Opt,onshore,12.5,15,15,15,15,15
Opt,pv_g,15.8,15.8,20,20,20,20
Opt,pv_c,5.8,5.8,15,15,15,15
Opt,nuclear,0,0,3.5,3.5,3.5,3.5
Opt,coal,0,0,0,0,0,0
N1,phs,0.5,0.5,0.5,0.5,0.5,0.5
N1,offshore_f,2,3.3,6.7,6.7,6.7,6.7
N1,offshore_g,1,1.7,3.4,3.4,3.4,3.4
N1,onshore,12.5,11.6,11.6,11.6,11.6,11.6
N1,pv_g,15.8,15.8,20,20,20,20
N1,pv_c,5.8,5.8,15,15,15,15
N1,nuclear,0,0,3.5,3.5,3.5,3.5
N1,coal,0,0,0,0,0,0
N1nuc,phs,0.5,0.5,0.5,0.5,0.5,0.5
N1nuc,offshore_f,2,3.3,6.7,6.7,6.7,6.7
N1nuc,offshore_g,1,1.7,3.4,3.4,3.4,3.4
N1nuc,onshore,12.5,11.6,11.6,11.6,11.6,11.6
N1nuc,pv_g,15.8,15.8,20,20,20,20
N1nuc,pv_c,5.8,5.8,15,15,15,15
N1nuc,nuclear,0,0,1.75,1.75,1.75,1.75
N1nuc,coal,0,0,0,0,0,0
