,2020,2025,2030
offshore_f,0.0,0.0,0.0
offshore_g,0.0,0.0,1.1117828816493405
onshore,25.672679102256538,32.99567158507232,65.99134317014465
pv_g,9.524232366375484,19.436958180891935,34.1136857993546
pv_c,0.0,0.0,0.0
river,36.685589196542864,36.685589196542864,36.685589196542864
lake,15.302186369999943,15.302186369999614,15.302186369999628
nuclear,377.1732627930447,377.1690501070045,364.9002872727622
methanization,0.0,0.0,18.999999999999922
pyrogazification,0.0,0.0,0.0
natural_gas,154.45963106616688,133.0008600077413,94.30256695070746
