,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,39.90434532519718,130.29143196979038,37.19221177002691,73.97358141272339
2020,39.823897310209176,128.6225015168754,34.49518589923286,75.49540662783365
2021,39.94055839140924,127.08931002315408,31.896390405970475,76.72616759849558
2022,40.0052577655819,124.39977612849873,29.179420594068645,77.86447504413923
2023,40.15199290097034,122.64178410115511,26.798139975699748,79.16075440319693
2024,40.340373687004295,120.79733374102479,24.500620874006703,80.4980221395189
2025,40.98748665111171,118.99398680782899,22.202572617967306,81.8529801293693
2026,41.36128404362872,118.0978648677027,20.012406857163693,82.19984929359183
2027,41.77566629157487,117.14857395801702,17.90281753679747,82.53868055172961
2028,42.11085315921854,116.0118283618048,15.848011504320253,82.6720939749193
2029,42.498476555709516,114.8440829082499,13.85486391736174,82.81821481810664
2030,43.06392515341609,112.97217103946953,11.921682719122202,83.00716858147963
2031,43.77203106477712,111.7605108826899,10.04654750343267,83.27542312759974
2032,44.52069634284685,110.50628105414775,8.227301992883621,83.53739329860508
2033,45.30867599525151,109.21185976019498,6.465801969505346,83.79374992710203
2034,46.08740335652837,107.58992432918764,4.75512946047739,83.9366915741235
