,2020,2025,2030
offshore_f,0.0,0.0,0.0
offshore_g,0.0,0.0,0.01690870687278057
onshore,0.355875,0.435,0.87
pv_g,0.06951,0.143522239425339,0.25189500000000004
pv_c,0.0,0.0,0.0
river,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998
ccgt,0.26,0.26,0.22
nuclear,8.413039576758269,8.413014300642027,8.139401723636574
h2_ccgt,0.0,0.0,0.0
phs,0.078,0.078,0.078
battery1,0.0,0.0,0.0
battery4,0.0,0.0,0.0
methanation,0.0,0.0,0.05681145896142535
pyrogazification,0.0,0.0,0.0
electrolysis,0.0,0.006575342465753428,0.0275007492848089
natural_gas,2.14698887181972,2.9925193501741787,2.2255405800366965
coal,0.04548662420291865,0.0,0.0
hydrogen,0.0,0.0,0.002254020100948019
methane,0.0,0.0,0.02466789976162136
geothermal,8.53573237795346e-05,7.061942148089235e-05,0.12993999999999883
central_gas_boiler,0.011621311275557432,0.015536250875778044,0.016012919421182777
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.005069274470411456
uiom,0.0,0.0,0.0
CTES,0.0,0.0,0.0
oil,0.8359579740144691,1.3150508433036507,0.7424092930474028
wood,4.070774153694628,4.690835797386222,5.758257045738773
health_costs,6.040668588427528,5.241762833148479,3.9714023361996595
