,2020,2025,2030
river,0.0,0.0,0.0
lake,0.0,0.0,0.0
phs,0.0,0.0,0.0
offshore_f,0.0,0.0,0.0
offshore_g,0.0,0.0,0.24155295532543672
onshore,0.0,0.0,11.6
onshore_V110,,,
pv_g,0.0,5.478784707175144,10.321215292824858
pv_g_ns,,,
pv_c,0.0,0.0,0.0
methanization,0.0,0.0,2.1691973969631233
ocgt,1.1706390441699899,0.0,0.0
ccgt,0.0,0.0,0.0
coal,0.0,0.0,0.0
nuclear,0.0,0.0,0.0
h2_ccgt,0.0,0.0,0.0
battery1,0.0,0.0,0.0
battery4,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794524,1.743783901587956
hydrogen,0.0,0.0,0.9465079674066323
methane,0.0,0.0,0.0
methanation,0.0,0.0,0.5531174610588215
pyrogazification,0.0,0.0,0.0
natural_gas,109.87739594333253,0.0,0.0
geothermal,0.0,0.0,0.0
central_gas_boiler,4.678479618714438,2.060494526431901,0.25087818179196475
central_wood_boiler,0.0,0.0,1.7570391949533977
uiom,0.0,0.0,0.0
CTES,0.0,0.0,0.0
