,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Surface Oil fuel-Performance boiler (Million m2),308.1810792600855,289.4814109436668,271.0182278473938,252.789570147377,234.79177357285374,217.0194465734486,199.4686063589104,182.1337068894115,165.0155574800767,148.10935349464026,131.24697135182976,114.44442742410538,97.71359893479654,81.07394908500841,64.54621589837154,48.15199615384409
Surface Wood fuel-Performance boiler (Million m2),163.22395366096154,185.24998483254802,204.93151003411717,224.884980829602,244.59738314985947,264.46909936680146,283.2920796729179,295.6206485009086,307.70912975926973,319.56406478662853,331.2349006610744,344.65650774724,357.87848086728525,370.8979054844745,383.70994356911694,396.3100224979869
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.1774177973367842,0.1774177973367842,0.1774177973367842,0.1774177973367842,0.1774177973367842,0.17909305930551309,0.17909305930551309,0.17909305930551306,0.17909305930551309,0.17909305930551309
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10017012483520879,0.10008784053796878,0.10000637907950878,0.09992573224004878,0.0998458918667088
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12444228998091787,0.12602101514758773,0.12762705225964105,0.12926087381373283,0.13092296048071042
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971
Consumption standard (TWh),337.12392207424455,332.8114075293048,328.0163447349258,323.2792756700393,319.1121790771375,314.9805128786489,310.2394586996217,306.1210810905785,302.12328172902807,297.55841548856364,293.1606346320473,289.10909912784484,285.1827280794414,281.34903581284914,277.6158013268392,273.2956639739171
Consumption standard (kWh/m2),139.28079212000642,135.98154967046574,132.56266414981818,129.24390810980432,126.22430597508865,123.28508261329367,120.17370960131528,117.36819124457556,114.66854683529438,111.81292882305607,109.07954350527055,105.91419521957603,102.89508982085455,100.0036480576881,97.23651994866074,94.35061301256
Consumption (TWh),293.3787582946951,291.06451958581874,288.86641284062006,285.2422518282416,283.1215591348288,281.07347749658766,279.5350498288689,277.7228594251987,275.9614757682498,273.77394626944306,271.670774336389,269.07086119512326,267.40186677594005,265.7714304716973,264.1834737301286,262.11720780318825
Consumption (kWh/m2),121.20773155181206,118.92442245653555,116.74083284020139,114.03707617172054,111.98827450499873,110.013684900319,108.28011382668342,106.48018608154032,104.73903642172748,102.8754865412601,101.0835717610267,98.573250743373,96.47968264231645,94.466691594989,92.5317704924985,90.49144387351738
Consumption existing (TWh),290.8345937388697,287.61636267709434,284.5080978583844,279.99197672079964,276.9653721862879,274.0096564782657,271.5179091496142,268.7765965312201,266.0826509401916,262.95910480250365,259.91644647936914,256.08763990376815,253.1554447919748,250.25733284646913,247.39720561691473,244.0542543783135
Consumption new (TWh),2.5441645558253754,3.4481569087243997,4.35831498223564,5.250275107441951,6.156186948540892,7.06382101832196,8.017140679254737,8.946262893978599,9.878824828058157,10.814841466939413,11.75432785701986,12.983221291355107,14.246421983965263,15.514097625228146,16.78626811321385,18.062953424874763
Consumption existing (kWh/m2),123.68605706296253,122.7099583497383,121.77788677925021,120.23844867692911,119.33383695663832,118.45713685210318,117.77903071368841,116.99155791510807,116.22332129200932,115.26531531687338,114.34083706901829,113.06723035766396,112.18831755895056,111.32459045903961,110.47771935971603,109.41418405288363
Consumption new (kWh/m2),36.83517522433775,33.28229788780794,31.55049379292691,30.40602120107157,29.710371844732904,29.220603716451087,29.01864003276995,28.783704309460404,28.605715987895934,28.469183406467597,28.36377893784838,27.9365769026559,27.659464389176105,27.439598625348363,27.262974673086227,27.119820537124802
Heating intensity (%),0.8501832499169854,0.8591735201069782,0.8696242428359161,0.8759172922105034,0.8848808445216946,0.8938881210411448,0.9083102716101773,0.9183943394380695,0.9282806583034183,0.9386128084305794,0.9487002291246941,0.9577999369668689,0.9695543698536069,0.981015965302751,0.9921994285564011,1.003799316453581
Energy poverty (Million),3.496889664944307,3.4176356928373193,3.3230453428203566,3.2375849074364518,3.153824035486975,3.069749644355221,2.855735918159326,2.704206812105531,2.62027062417465,2.468029987114376,2.362715867796242,2.2709334428985457,2.1689331694989247,2.059118094675298,1.9487273991460556,1.8342030831874003
Consumption Electricity (TWh),39.90434532519718,39.823897310209176,39.94055839140924,40.0052577655819,40.15199290097034,40.340373687004295,40.98748665111171,41.36128404362872,41.77566629157487,42.11085315921854,42.498476555709516,43.06392515341609,43.77203106477712,44.52069634284685,45.30867599525151,46.08740335652837
Consumption Heating (TWh),12.017187816957232,12.627528231667645,13.213986421590704,13.793322295953114,14.36888775380662,14.937127055032953,15.498023622591601,16.051454363111773,16.595737430130832,17.131159269180188,17.655136136961193,18.105913701635778,18.547354197440637,18.97975778321395,19.40338607807472,19.748059082871347
Consumption Natural gas (TWh),130.29143196979038,128.6225015168754,127.08931002315408,124.39977612849873,122.64178410115511,120.79733374102479,118.99398680782899,118.0978648677027,117.14857395801702,116.0118283618048,114.8440829082499,112.97217103946953,111.7605108826899,110.50628105414775,109.21185976019498,107.58992432918764
Consumption Oil fuel (TWh),37.19221177002691,34.49518589923286,31.896390405970475,29.179420594068645,26.798139975699748,24.500620874006703,22.202572617967306,20.012406857163693,17.90281753679747,15.848011504320253,13.85486391736174,11.921682719122202,10.04654750343267,8.227301992883621,6.465801969505346,4.75512946047739
Consumption Wood fuel (TWh),73.97358141272339,75.49540662783365,76.72616759849558,77.86447504413923,79.16075440319693,80.4980221395189,81.8529801293693,82.19984929359183,82.53868055172961,82.6720939749193,82.81821481810664,83.00716858147963,83.27542312759974,83.53739329860508,83.79374992710203,83.9366915741235
Consumption Electricity-Heat pump water (TWh),5.88078125647307,6.691676632865034,7.541241729680843,8.38526945924907,9.240541806457067,10.110385957857577,11.122071720706062,11.825051173351065,12.533928961027392,13.248699893258262,13.972126981376253,14.91122763267162,15.892144714613702,16.882601762899668,17.88266259273261,18.891539646356005
Consumption Electricity-Performance boiler (TWh),34.0235640687241,33.132220677344144,32.39931666172839,31.619988306332832,30.911451094513275,30.229987729146718,29.86541493040565,29.53623287027766,29.241737330547487,28.86215326596028,28.526349574333263,28.15269752074447,27.87988635016341,27.63809457994718,27.4260134025189,27.19586371017236
Consumption Heating-District heating (TWh),12.017187816957232,12.627528231667645,13.213986421590704,13.793322295953114,14.36888775380662,14.937127055032953,15.498023622591601,16.051454363111773,16.595737430130832,17.131159269180188,17.655136136961193,18.105913701635778,18.547354197440637,18.97975778321395,19.40338607807472,19.748059082871347
Consumption Natural gas-Performance boiler (TWh),130.29143196979038,128.6225015168754,127.08931002315408,124.39977612849873,122.64178410115511,120.79733374102479,118.99398680782899,118.0978648677027,117.14857395801702,116.0118283618048,114.8440829082499,112.97217103946953,111.7605108826899,110.50628105414775,109.21185976019498,107.58992432918764
Consumption Oil fuel-Performance boiler (TWh),37.19221177002691,34.49518589923286,31.896390405970475,29.179420594068645,26.798139975699748,24.500620874006703,22.202572617967306,20.012406857163693,17.90281753679747,15.848011504320253,13.85486391736174,11.921682719122202,10.04654750343267,8.227301992883621,6.465801969505346,4.75512946047739
Consumption Wood fuel-Performance boiler (TWh),73.97358141272339,75.49540662783365,76.72616759849558,77.86447504413923,79.16075440319693,80.4980221395189,81.8529801293693,82.19984929359183,82.53868055172961,82.6720939749193,82.81821481810664,83.00716858147963,83.27542312759974,83.53739329860508,83.79374992710203,83.9366915741235
Consumption Heat pump (TWh),5.88078125647307,6.691676632865034,7.541241729680843,8.38526945924907,9.240541806457067,10.110385957857577,11.122071720706062,11.825051173351065,12.533928961027392,13.248699893258262,13.972126981376253,14.91122763267162,15.892144714613702,16.882601762899668,17.88266259273261,18.891539646356005
Consumption Direct electric (TWh),34.0235640687241,33.132220677344144,32.39931666172839,31.619988306332832,30.911451094513275,30.229987729146718,29.86541493040565,29.53623287027766,29.241737330547487,28.86215326596028,28.526349574333263,28.15269752074447,27.87988635016341,27.63809457994718,27.4260134025189,27.19586371017236
Consumption District heating (TWh),12.017187816957232,12.627528231667645,13.213986421590704,13.793322295953114,14.36888775380662,14.937127055032953,15.498023622591601,16.051454363111773,16.595737430130832,17.131159269180188,17.655136136961193,18.105913701635778,18.547354197440637,18.97975778321395,19.40338607807472,19.748059082871347
Consumption New (TWh),2.544164555825368,3.4481569087243527,4.3583149822356715,5.250275107442003,6.156186948540879,7.0638210183219305,8.01714067925471,8.946262893978577,9.878824828058177,10.81484146693945,11.75432785701983,12.983221291355122,14.246421983965288,15.51409762522812,16.78626811321387,18.06295342487475
Consumption Existing (TWh),290.83459373886967,287.61636267709434,284.5080978583844,279.99197672079964,276.9653721862879,274.0096564782657,271.5179091496142,268.77659653122015,266.0826509401916,262.95910480250365,259.9164464793692,256.0876399037681,253.15544479197476,250.25733284646915,247.3972056169147,244.05425437831352
Consumption A (TWh),1.0452809970943107,1.4861606828490523,1.9320523455541,2.3753857423357316,2.8208317192158923,3.267935462386969,3.756096176424096,4.212011274893282,4.670684733594692,5.132112120395447,5.596639044453106,6.325671593948325,7.070329572579516,7.819584911781723,8.573275583550428,9.331425351255804
Consumption B (TWh),2.451739234886786,3.110905597994657,3.794217247275735,4.482706559305451,5.172029449449536,5.872639668003094,6.613194498363446,7.22071192151984,7.834376189873131,8.460904882127464,9.095349840806078,9.817716272357798,10.555449281108531,11.301756626696386,12.054857536647843,12.833159990331554
Consumption C (TWh),31.20823122462237,33.16658038693085,35.06879147633095,36.81631571421648,38.57776831529025,40.34274154203995,42.29678539800452,43.80956575970904,45.29817543425358,46.96350440660513,48.588226074500795,49.9551442214862,51.44010664423381,52.89339807569943,54.31493117548858,55.94278285429075
Consumption D (TWh),96.0801388882692,95.76959913075054,95.50139462145515,94.62199811872904,94.13853145178565,93.61220782006856,93.36058507211197,93.18585461823724,92.95413212422774,92.78861173357559,92.54830276799292,91.87973731778473,91.52232506917603,91.09970479230002,90.61443663958507,90.42450578465089
Consumption E (TWh),68.73215403222758,67.20805341915083,65.71939918797418,63.93252476468626,62.43655980770657,60.96964251220169,59.69182083997245,58.346364999061485,56.99119116106698,55.62700064896943,54.23937064088989,52.67263510763632,51.24337491289621,49.791671427283354,48.32097583329373,45.73816203806996
Consumption F (TWh),51.43003591239798,50.865832303203966,50.259517168218316,49.317280209277136,48.69072835958226,48.0121446103344,47.441320758084736,46.90759976488406,46.32341199702215,44.8954244145014,43.534159130956645,42.09113412437677,40.82953518879581,39.59885235608449,38.398585183209676,37.205558571347375
Consumption G (TWh),42.43117800519681,39.457388064938826,36.59104079381165,33.69604071969155,31.285110031798574,28.99616588155294,26.37524708590768,24.04075108689375,21.889504128211524,19.906388063268643,18.06872683678958,16.328822557533076,14.740746107150137,13.266462281851851,11.906411778353236,10.641613213241907
Consumption standard Electricity-Heat pump water (TWh),5.286341360898957,5.9412911617829876,6.627161105062782,7.321578074610612,8.019223304273236,8.727996980395977,9.441693072240044,9.960401688236205,10.48065838818303,11.00242491096653,11.528033225744432,12.221299369481152,12.918109132167809,13.618114719438775,14.321412878139194,15.026911083598732
Consumption standard Electricity-Performance boiler (TWh),72.8697622786551,70.81741461440343,68.96848177685813,67.17721741745609,65.50725816580588,63.8918818212059,62.11135142568816,61.10499508499453,60.19233305801811,59.07305248030705,58.0688476780144,57.13580289983217,56.29520183798534,55.533438752399334,54.84737087129313,54.11664350134695
Consumption standard Heating-District heating (TWh),12.061889958456643,12.612503512397172,13.135077513197112,13.649681115241643,14.160332757713945,14.662770110119991,15.156981583374208,15.64281883156892,16.118237500350855,16.583586753104413,17.035902432399084,17.40711138679904,17.767791700025636,18.118304078209313,18.45896411643042,18.702081233800097
Consumption standard Natural gas-Performance boiler (TWh),150.09882501827178,147.94128586729093,145.5338012747733,142.92837032720257,140.48928018965444,137.89362226782737,135.16439772559158,133.52422688169054,131.82812763464378,129.8633969408129,127.87934710977159,125.90784017820197,123.90956902435974,121.87532430110802,119.81050475956715,117.3327840867103
Consumption standard Oil fuel-Performance boiler (TWh),64.41102775469004,59.62583920168658,54.882825868618305,50.31715078021943,46.08758824035135,42.00985862228447,37.91870880178966,34.05407033489705,30.35543036605925,26.77264251693037,23.320518703700724,19.994411605049756,16.789352533461678,13.699100054483639,10.727021229224311,7.857750998066712
Consumption standard Wood fuel-Performance boiler (TWh),32.396075703272025,35.87307317174372,38.868997196416146,41.885277955308936,44.84849641933867,47.79438307681518,50.44632609093804,51.83456826919121,53.148494781773024,54.26331188644236,55.32798548241707,56.44263368848081,57.50270385144121,58.50475390721009,59.45052747218494,60.25949307039432
Emission content Electricity (gCO2/kWh),79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,75.0,71.0,67.0,63.0
Emission content Natural gas (gCO2/kWh),227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,224.96887113160864,224.94581812151682,222.84294232332564,220.67041101435876
Emission content Oil fuel (gCO2/kWh),324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0
Emission content Wood fuel (gCO2/kWh),30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Emission content Heating (gCO2/kWh),101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,98.0,94.0,91.0,87.0
Emission mean (gCO2/kWh),164.33302343855433,161.682635109178,159.1580176599273,156.29646847406426,153.71619953805987,151.09812679114708,148.3326323270859,146.35802410988077,144.38916371748925,142.47742928815052,140.55128920270002,138.358610404817,134.6158257252567,131.59713989511292,127.7415784181773,123.69376027826243
Emission (MtCO2),48.211818363216096,47.06007851342212,45.97540563624726,44.58235662034386,43.52037007749596,42.46967594040803,41.46416976879925,40.646968955618256,39.84584670442176,39.00660807054249,38.18367757167527,37.228270455384646,35.99652309651826,34.97476011590822,33.7472139262837,32.42226306681507
Emission Electricity (MtCO2),3.152443280690577,3.1460878875065252,3.1553041129213297,3.1604153634809706,3.172007439176657,3.186889521273339,3.238011445437825,3.267541439446669,3.300277637034415,3.326757399578265,3.357379647901052,3.4020500871198713,3.282902329858284,3.1609694403421265,3.0356812916818514,2.9035064114612874
Emission Heating (MtCO2),1.2137359695126804,1.275380351398432,1.334612628580661,1.3931255518912646,1.4512576631344687,1.5086498325583282,1.5653003858817518,1.621196890674289,1.6761694804432141,1.7302470861871988,1.7831687498330804,1.8286972838652136,1.8176407113491824,1.7840972316221113,1.7657081331047997,1.7180811402098073
Emission Natural gas (MtCO2),29.576155057142415,29.197307844330712,28.849273375255976,28.23874918116921,27.839684990962212,27.420994759212626,27.011635005377183,26.80821532496851,26.592726288469866,26.334685038129688,26.06960682017273,25.64468282595958,25.14263597037061,24.85792579929154,24.33709216556426,23.741912822725592
Emission Oil fuel (MtCO2),12.05027661348872,11.176440231351446,10.334430491534434,9.45413227247824,8.682597352126718,7.938201163178172,7.193633528221406,6.484019821721036,5.800512881922381,5.134755727399762,4.488975909225204,3.8626252009955935,3.255081391112185,2.6656458456942933,2.0949198381197323,1.5406619451946741
Emission Wood fuel (MtCO2),2.2192074423817014,2.2648621988350093,2.3017850279548675,2.335934251324177,2.374822632095908,2.4149406641855666,2.455589403881079,2.4659954788077547,2.4761604165518882,2.480162819247579,2.484546444543199,2.490215057444389,2.4982626938279924,2.5061217989581523,2.5138124978130607,2.518100747223705
Emission mean first year (gCO2/kWh),164.33302343855433,161.682635109178,159.1580176599273,156.29646847406426,153.71619953805987,151.09812679114708,148.3326323270859,146.35802410988077,144.38916371748925,142.47742928815052,140.55128920270002,138.358610404817,136.32759457851967,134.29127400107927,132.25260235126842,130.15984197915273
Emission first year (MtCO2),48.211818363216096,47.06007851342212,45.97540563624726,44.58235662034386,43.52037007749596,42.46967594040803,41.46416976879925,40.646968955618256,39.84584670442176,39.00660807054249,38.18367757167527,37.228270455384646,36.45425328336968,35.690783991133486,34.93895189900746,34.117134347679716
Emission New (MtCO2),0.4095135967681546,0.48570696839226907,0.5629421497737701,0.6366415666024512,0.7131782555194889,0.7900037351245298,0.8706804296698213,0.9499013276924949,1.0295027984773797,1.1094864118032486,1.1898537441790664,1.279556757687916,1.3412803109888978,1.4021730723417023,1.451805903200802,1.4939656199358715
Emission Existing (MtCO2),47.80230476644794,46.57437154502986,45.4124634864735,43.94571505374142,42.80719182197647,41.6796722052835,40.59348933912942,39.69706762792577,38.816343905944386,37.89712165873925,36.99382382749619,35.94871369769673,34.65524278552935,33.57258704356652,32.2954080230829,30.928297446879196
Stock A (Million),0.4975474416320685,0.7810139613613076,1.0663101867208826,1.3520677548870137,1.6380573827099858,1.9245868025575368,2.211446139871283,2.494325763909882,2.77752786928562,3.0610321523751636,3.345104969896948,3.8049761210711757,4.265352240311266,4.7262695632046015,5.187628546825318,5.649414066304344
Stock B (Million),0.7014525826163447,0.8544142030336208,1.0170403288423562,1.1816497687329048,1.3462737763733839,1.513347343177416,1.680715775568949,1.8124349373750737,1.9453325808243649,2.0804447462338205,2.217393149624907,2.367793888062724,2.5197495027073296,2.6734111697826988,2.8284741461247416,2.989757301893758
Stock C (Million),5.992661695888199,6.235503817913585,6.480822882725776,6.725261406670628,6.95450361144072,7.182517154184655,7.439230529786144,7.655367457702926,7.865146674147451,8.119597235964521,8.362763029288832,8.575444289159488,8.778904034948734,8.97435604013903,9.162107837325788,9.402354710453546
Stock D (Million),9.886616150696629,9.833848455395996,9.774512922974209,9.709375655639663,9.634344240764682,9.552920568634843,9.48591323176515,9.444033904119664,9.395719904112655,9.365322086189012,9.32510469301129,9.278189537847172,9.222950106136167,9.160042181189803,9.089913907799202,9.064504311659794
Stock E (Million),5.859806476101843,5.705772148739201,5.549106778604651,5.393085193080837,5.23901324327824,5.085972992157044,4.934940699884514,4.802932940029607,4.671057351579413,4.5394015198122135,4.406716810255621,4.272974339792825,4.138535022463204,4.003330140507796,3.8676342594767905,3.6173796064211645
Stock F (Million),3.1590297011150263,3.1058328940882,3.0470490991739685,2.984885940050674,2.9291929319251726,2.871262872240501,2.813508624585455,2.767460016169666,2.719678913192342,2.5948684806334996,2.4795707448247257,2.372675350657184,2.2727926125810685,2.178870981551842,2.090480138111438,2.0059840340169224
Stock G (Million),2.2382460579323444,2.1017613441544154,1.965242984215241,1.834852007815815,1.720041806500924,1.6102277784182522,1.4536508028316801,1.320585367138569,1.1995784717046445,1.089446217915,0.9887015044534657,0.895896909576526,0.8109346652374175,0.7328820529768718,0.6615474068460482,0.5957004525781573
Stock efficient (Million),1.1990000242484131,1.6354281643949284,2.0833505155632386,2.5337175236199183,2.9843311590833697,3.437934145734953,3.892161915440232,4.306760701284956,4.722860450109985,5.141476898608984,5.562498119521855,6.1727700091339,6.785101743018595,7.3996807329873,8.01610269295006,8.639171368198102
Stock low-efficient (Million),5.397275759047371,5.207594238242615,5.01229208338921,4.819737947866489,4.649234738426097,4.481490650658753,4.267159427417135,4.088045383308235,3.9192573848969863,3.6843146985484996,3.4682722492781917,3.26857226023371,3.083727277818486,2.9117530345287137,2.7520275449574862,2.6016844865950794
Stock to renovate (Million),21.143698385845845,20.747214842377815,20.33591178496807,19.92219879658699,19.52259222246902,19.120384211450638,18.688013359066797,18.335012227457504,17.986034640589054,17.589038304549725,17.200093752545104,16.819736137873708,16.44521240641786,16.075125356226312,15.709575712233478,15.28356840467604
Stock Direct electric (Million),8.837335058646062,8.685649683549743,8.550299078248429,8.416220333729207,8.282261582138913,8.15091806182069,8.034263864575925,7.985675633354163,7.939732030528151,7.896406484656358,7.855573498864221,7.816900743711468,7.780485041798627,7.746323044817667,7.7144096110246485,7.684728138447601
Stock Heat pump (Million),1.6783342414154616,2.060485819565089,2.4558115169882693,2.853617384786371,3.252288127609044,3.654195640361768,4.056704472223717,4.396717805514962,4.737330390631442,5.0785066490188235,5.421225455320436,5.928846486220564,6.4378539651641224,6.948160161298344,7.459681150802194,7.97232887360168
Stock Oil fuel (Million),3.0635329051758045,2.8777383332920192,2.6942824314523715,2.5131455382419015,2.3342913412612183,2.1576690461448393,1.983238900785854,1.8109544419244348,1.6408212564088636,1.4727887771349857,1.3051967068914627,1.1381961028510885,0.9718975702113366,0.8064866918483586,0.6421616972176265,0.47912968634953007
Stock Wood fuel (Million),1.5257288625247518,1.7286579862034024,1.9088759715916281,2.0916768751544836,2.2722359057276145,2.4543281090176468,2.6264666200702753,2.7369461205593604,2.845118343212023,2.951052183350247,3.055211545948732,3.173380816021052,3.2896438552916356,3.4039801521759916,3.51635064001037,3.6267178440772887
Stock Natural gas (Million),11.967333120135258,11.905473308775612,11.833792603010133,11.75277774482029,11.670066123632644,11.577069970758785,11.475885776926107,11.428015318114337,11.376415691616407,11.32113407472194,11.262559143851561,11.189911593634047,11.113744195704147,11.033990400570175,10.950588190312347,10.863480171677939
Stock District heating (Million),1.2630959180851142,1.3601416933004618,1.4570235819662523,1.5537398501452817,1.6502839126236737,1.7466546832665184,1.8428461697112961,1.9388310669781281,2.0346240524496015,2.130224270240876,2.2255885504793778,2.320714693728873,2.4155935562153172,2.5102216786421083,2.6045949531421413,2.698709769173651
Stock Electricity-Heat pump water (Million),1.6783342414154616,2.060485819565089,2.4558115169882693,2.853617384786371,3.252288127609044,3.654195640361768,4.056704472223717,4.396717805514962,4.737330390631442,5.0785066490188235,5.421225455320436,5.928846486220564,6.4378539651641224,6.948160161298344,7.459681150802194,7.97232887360168
Stock Electricity-Performance boiler (Million),8.837335058646062,8.685649683549743,8.550299078248429,8.416220333729207,8.282261582138913,8.15091806182069,8.034263864575925,7.985675633354163,7.939732030528151,7.896406484656358,7.855573498864221,7.816900743711468,7.780485041798627,7.746323044817667,7.7144096110246485,7.684728138447601
Stock Heating-District heating (Million),1.2630959180851142,1.3601416933004618,1.4570235819662523,1.5537398501452817,1.6502839126236737,1.7466546832665184,1.8428461697112961,1.9388310669781281,2.0346240524496015,2.130224270240876,2.2255885504793778,2.320714693728873,2.4155935562153172,2.5102216786421083,2.6045949531421413,2.698709769173651
Stock Natural gas-Performance boiler (Million),11.967333120135258,11.905473308775612,11.833792603010133,11.75277774482029,11.670066123632644,11.577069970758785,11.475885776926107,11.428015318114337,11.376415691616407,11.32113407472194,11.262559143851561,11.189911593634047,11.113744195704147,11.033990400570175,10.950588190312347,10.863480171677939
Stock Oil fuel-Performance boiler (Million),3.0635329051758045,2.8777383332920192,2.6942824314523715,2.5131455382419015,2.3342913412612183,2.1576690461448393,1.983238900785854,1.8109544419244348,1.6408212564088636,1.4727887771349857,1.3051967068914627,1.1381961028510885,0.9718975702113366,0.8064866918483586,0.6421616972176265,0.47912968634953007
Stock Wood fuel-Performance boiler (Million),1.5257288625247518,1.7286579862034024,1.9088759715916281,2.0916768751544836,2.2722359057276145,2.4543281090176468,2.6264666200702753,2.7369461205593604,2.845118343212023,2.951052183350247,3.055211545948732,3.173380816021052,3.2896438552916356,3.4039801521759916,3.51635064001037,3.6267178440772887
Energy expenditures (Billion euro),28.379916884952127,28.434586165978242,28.342988699372842,28.649252875531207,28.66870614073638,28.66752478132047,28.31528535136215,28.21162603365866,28.115507065488316,27.975846843307973,27.846969887713218,28.033303164844483,27.96585442904317,27.904565106974736,27.84988831165136,27.749140904340884
Energy expenditures wt (Billion euro),20.17269826376832,20.26624225828084,20.37839825639709,20.396716158081706,20.512749712834967,20.635237302758025,20.379247988696946,20.35841802109817,20.34125375403889,20.290380782340055,20.245691857180017,20.526636388088722,20.5195076240607,20.515094355061798,20.513699046504804,20.476416159454352
Energy expenditures C1 (Billion euro),2.74963817450034,2.7712098747554443,2.791459415622164,2.7988131505092935,2.8197956928867765,2.841425377701913,2.80514609410869,2.801365613392313,2.7984979502889824,2.7870634854894707,2.777290709563706,2.8134437856739023,2.809733193471083,2.8070409905458553,2.80521163912036,2.7938135304846683
