,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Stock (Million),28.335360105982453,28.618146824686328,28.90008518325708,29.181177726877536,29.461426992993108,29.74083551137025,30.01940580429318,30.29714038644538,30.574041764846488,30.850112439123233,31.12535490135579,31.5679504361671,32.00921818438519,32.44916212935264,32.88778624250933,33.32509448332769
Stock existing (Million),27.599774505982456,27.514768424686327,27.428913983257083,27.34221372687754,27.254670192993107,27.16628591137025,27.077063404293177,26.987005186445383,26.89611376484649,26.804391639123224,26.71184130135579,26.618465236167097,26.523761384385182,26.427733729352646,26.33038624250932,26.23172288332769
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001
Surface (Million m2),2420.4624122454265,2447.4747370936097,2474.4248076080603,2501.311515552319,2528.1357390875,2554.895581865676,2581.5917618659096,2608.2116273963334,2634.7528600234787,2661.216539273824,2687.5858223396604,2729.6539290930577,2771.5873378988117,2813.3877241213254,2855.056942323889,2896.5965906075867
Surface existing (Million m2),2351.393525228313,2343.871406567939,2336.2870335738316,2328.6392980095343,2320.929078036159,2313.1544773057776,2305.3162137974537,2297.4016358193207,2289.4084249379093,2281.3376606796974,2273.172500236977,2264.914768794546,2256.522339404471,2247.9968874311553,2239.3402674378904,2230.554077525759
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277
Surface Electricity-Heat pump water (Million m2),158.81008596917934,193.2648666759494,228.66829328126926,264.3244822293603,300.0830905653934,336.172103254532,372.35644277444396,403.1506753974849,434.01097095781734,464.9356987504954,496.000822222617,541.9701513042278,588.069773798466,634.294216548834,680.6381474653705,727.0955700360854
Surface Electricity-Performance boiler (Million m2),723.9714929334631,711.5528693821329,701.1426805375226,690.8582655154629,680.5886177178261,670.5754112195059,662.0224471590554,659.788194165766,657.8088861499637,656.080649123293,654.5939190687615,653.0452990727456,651.7159190067492,650.6029393233669,649.7036121584907,649.0139398496824
Surface Heating-District heating (Million m2),80.25970925937196,86.47140047946453,92.67300727378475,98.86450747982495,105.04557328983373,111.21618248166976,117.37606869888644,123.52369846732599,129.66035449740673,135.78604868689794,141.89793317050243,148.08477850563003,154.25710876800858,160.41477540179142,166.55759022207144,172.68539819972784
Surface Natural gas-Performance boiler (Million m2),986.0160911623652,981.4542047798486,975.9910886339721,969.5897093506921,963.0293007917339,955.4433389697181,947.0761172016952,943.9947039754361,940.5479611789442,936.7407244318683,932.6112758648752,927.4527650391092,921.9524565235062,916.1039382778498,909.9014330104676,903.3396638702601
