,2020,2025,2030
CTES,0.0,0.0,0.0
battery1,0.0,0.0,0.0
battery4,0.0,0.0,0.0
ccgt,0.0,0.0,0.0
central_gas_boiler,0.01751971970065126,0.007716029456110464,0.0009394751676212295
central_wood_boiler,0.0,0.0,0.07484568221637919
coal,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523115,0.1270284903375277
geothermal,0.0,0.0,0.0
h2_ccgt,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0
lake,0.0,0.0,0.0
methanation,0.0,0.0,0.06849750659425011
methane,0.0,0.0,0.0
methanization,0.0,0.0,0.058466792830164246
natural_gas,0.0,0.0,0.0
nuclear,0.0,0.0,0.0
ocgt,0.03794425793257983,0.0,0.0
offshore_f,0.0,0.0,0.0
offshore_g,0.0,0.0,0.033640150273337235
onshore,0.0,0.0,0.7833210740214492
phs,0.0,0.0,0.0
pv_c,0.0,0.0,0.0
pv_g,0.0,0.19581201071670654,0.3688806966408599
pyrogazification,0.0,0.0,0.0
river,0.0,0.0,0.0
uiom,0.0,0.0,0.0
investment_heater,0.6699334992696225,3.2954058770075223,2.9174007746162274
investment_insulation,0.26907528735283204,1.3622846216377336,1.3063616457448533
