,2019,2024,2029,2034
Stock Direct electric (Million),8.837335058646062,8.15091806182069,7.855573498864221,7.684728138447601
Stock Heat pump (Million),1.6783342414154616,3.654195640361768,5.421225455320436,7.97232887360168
Stock Oil fuel (Million),3.0635329051758045,2.1576690461448393,1.3051967068914627,0.47912968634953007
Stock Wood fuel (Million),1.5257288625247518,2.4543281090176468,3.055211545948732,3.6267178440772887
Stock Natural gas (Million),11.967333120135258,11.577069970758785,11.262559143851561,10.863480171677939
