Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3374.361747402677,7402.82298714727,11597.830010125064,15803.000359713871,20016.09647764784,24240.171904612125,28471.218975583706,32534.196808951,36599.96103312986,40668.35715377652,44740.35045386668,51372.34998310349,58007.93315655958,64646.93925128981,71289.19796923318,77934.52599557156
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4210.210351400621,4985.669209214626,6574.116142283356,8148.001058625735,9706.474552263251,11257.007121253564,12779.108861187526,13514.564985835192,14240.183343146855,14955.861412727982,15666.607116768615,16392.382775007118,17112.972064891972,17827.966056999485,18536.95141833434,19239.497723286688
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2948.109148780068,3173.4111511301985,3731.840927659552,4286.609439714319,4832.581344358066,5383.239313763959,5930.458283531705,6126.614697300547,6319.206110069669,6508.348786728921,6695.581413386226,6887.004385322457,7076.652901591136,7264.53238480678,7450.641907838225,7634.973212476548
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,362.70608201981764,465.0559536235372,745.4790165003715,1021.5584206865535,1286.0596387641995,1548.685164836457,1808.3317565438922,1882.289410844348,1953.192730284935,2021.1178795887556,2086.5887369313105,2151.7594674257216,2214.534777198158,2274.9349553975458,2332.9750986906733,2388.6655773873363
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38867.230995530415,38610.143915606284,38107.532309514136,37587.31514550077,37021.19382990204,36445.97667168294,35859.4079498954,35671.03720379529,35473.13119011263,35266.34031465766,35048.10123877337,34858.43675049155,34658.96222782293,34450.393820248035,34233.46535925438,34008.94302166103
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20728.586912069466,20447.84760743208,19914.99344366397,19386.777899664226,18864.114354023928,18346.89697480515,17839.763732058065,17559.293271330072,17280.638933366587,17004.032943236627,16727.88919610419,16469.14694416422,16211.335618535606,15954.768639887192,15699.758892580665,15446.62587384812
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19098.80457908467,18409.269394120864,17478.96258548359,16587.575656033765,15736.27033103524,14921.999141278047,14152.501552032016,13603.136102513206,13071.871879227783,12558.233798722655,12059.319379642962,11586.33443976125,11126.246938620257,10678.879625484702,10244.028070680104,9821.49686561349
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19808.04759453295,19611.19416848481,19314.06328590829,19011.37587039927,18715.38657365327,18413.62438012955,18111.59275088558,17812.133447675013,17507.93094068914,17199.211533560003,16884.563320411682,16586.826775729787,16281.94845273978,15970.047727977742,15651.213592785263,15325.552622999476
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14214.48519489539,13839.917351147526,13399.485071056602,12968.096072775534,12553.54420998976,12147.100986761598,11757.483278153797,11390.412146669836,11030.50550579792,10677.682907558337,10330.972169146691,10003.515358203422,9680.706198901047,9362.48004166005,9048.752050531422,8739.445921892473
