,hour,elec_demand,electrolysis,methanation,heat_elec,heat_gas,peak_electricity_load,nb_year,date,year
0,465,94.23599999999999,0.0,0.0,11.560936392672438,35.701441138920906,94.23599999999999,0,2006-01-20 09:00:00,2020
0,859,81.29165260920624,0.547945205479452,0.0,14.571194392700825,40.00049197818435,81.97658411605555,0,2006-02-05 19:00:00,2025
0,1027,83.41867997568016,1.844007426455211,0.296042377651012,15.712081578527275,37.66496560236365,86.21709322150086,0,2006-02-12 19:00:00,2030
0,1531,87.6524800302276,2.6484018264840183,0.881772053455847,15.45007895365595,32.24453464373757,92.4326024024257,0,2006-03-05 19:00:00,2035
0,609,91.59693497917355,7.875641311340379,1.1051383774588162,25.670982146831495,40.9329168181005,103.28338391411373,0,2006-01-26 09:00:00,2040
0,690,101.70722441246902,8.419318477142529,0.0,23.55636942995748,31.21493136498583,112.23137250889718,0,2006-01-29 18:00:00,2045
0,691,109.35883810800279,10.966210045662102,0.0,22.570332493298782,24.603636083667173,123.06660066508041,0,2006-01-29 19:00:00,2050
