,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,41.38121926961851,134.60996357611003,37.947453826474636,74.33413506494543
2020,41.89806690204622,132.76958223114272,35.10846334473687,75.00190024186521
2021,42.452238538751665,130.84706711251528,32.40621981871759,75.88010868858507
2022,43.04559179354779,128.71531429441046,29.809702943362527,76.9464209154314
2023,43.681896097592634,126.30801686921606,27.297575462178028,78.18954143881015
2024,44.35705717270393,123.780273266952,24.894028269340474,79.59163150099555
2025,45.910293413247096,121.0413335861156,22.57800165014744,81.43596700403096
2026,47.02393916457059,118.11279574521573,20.33559591870799,83.04130686224723
2027,48.21406547271008,115.07506482788231,18.183024435920018,84.69922150483575
2028,49.47715522286587,111.90264006160996,16.10611461317486,86.37932378288897
2029,50.81925407327195,108.56408854269654,14.079426298057133,88.07530169751008
2030,52.33874195222772,104.69238893067164,12.11570943264775,89.81764047182125
2031,54.084695424641936,100.8732980965407,10.171050674288304,91.63676252560346
2032,55.913288511843895,96.97383473598413,8.296771344370278,93.44206616611368
2033,57.81638098649519,93.01719169332611,6.493086525286719,95.21579635145703
2034,59.78528436061232,89.02697101631843,4.760677975584216,96.94096160075463
2035,61.23130354241741,84.09488086610826,3.1004452778753984,98.42835156833792
2036,63.203805996345054,80.18394319163465,1.5132963235518204,100.11235956069962
2037,65.22266854472637,76.27903542382337,0.0,101.71677390598454
2038,66.64650080218193,72.31253893336957,0.0,102.53990432951132
2039,68.07110466099256,68.41617428189608,0.0,103.3181630012767
2040,68.30076959360868,63.68220025218208,0.0,103.56640110653824
2041,69.57553992070041,60.1497108064822,0.0,104.24753758807394
2042,70.82843900320967,56.76718123655007,0.0,104.82681541997427
2043,72.05759407129672,53.51322686777318,0.0,105.31023524978113
2044,73.26164096678369,50.40904025530192,0.0,105.7045568602724
2045,73.61160230945423,47.61472905328066,0.0,105.72228306796765
2046,74.65907853551224,44.870965874756834,0.0,105.97031962691577
2047,75.67825636635061,42.26215689814941,0.0,106.13742840735891
2048,76.6698820996809,39.77386391871524,0.0,106.22893250109834
2049,77.63590574376921,37.40304638246254,0.0,106.25276191331749
