,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,5.11059012834226,0.0,0.0,8.128825057827475,2.9589359248285714
2020,5.003843760389766,0.0,0.0,8.09765825999097,2.942891372889312
2021,4.8637044185065434,0.0,0.0,8.058092126264246,2.9319797636887666
2022,4.747296034892573,0.0,0.0,8.018340338283952,2.9158765258794013
2023,4.630492574170954,0.0,0.0,7.978326307411621,2.899328868140041
2024,4.513352584929856,0.0,0.0,7.938116921029995,2.882589156839825
2025,4.063267630956287,0.0,0.0,8.822626366511448,2.8453033935094294
2026,3.808786863182872,0.0,0.0,8.735051188105931,2.8226637431041963
2027,3.837154486359403,0.0,0.0,8.647702217968801,2.7999878513465237
2028,3.828874641341924,0.0,0.0,8.560635896599155,2.7800455571255323
2029,3.829099566871873,0.0,0.0,8.520405650961402,2.7577040627363063
2030,3.861505571561939,0.0,0.0,8.593049124664155,2.7494179076478247
2031,3.8835289137144957,0.0,0.0,8.552684545650841,2.735896605361701
2032,3.88503442187283,0.0,0.0,8.512046311038656,2.7130665950460404
2033,3.866177431635745,0.0,0.0,8.471080014387926,2.690176368772064
2034,3.8829685561724623,0.0,0.0,8.429729488212436,2.666978842866648
2035,4.077521504618684,0.0,0.0,8.577397031002873,2.681793520921853
2036,4.028661692077258,0.0,0.0,8.535470983635955,2.654930232146725
2037,4.040336831392266,0.0,0.0,8.494514863568966,2.628147018561891
2038,4.016582272218591,0.0,0.0,9.15571544663614,2.615031472394193
2039,3.8243979041947793,0.0,0.0,8.534425995831787,2.591355809364212
2040,4.173905280143947,0.0,0.0,8.637477281761107,2.6129348415186127
2041,4.1274108164672105,0.0,0.0,8.565287282450372,2.5845946142085907
2042,4.083702104252113,0.0,0.0,8.494817253217388,2.577350834647917
2043,3.829591242939631,0.0,0.0,8.425950729659936,2.549913487028365
2044,3.806983712005012,0.0,0.0,8.358744365579087,2.522947259597071
2045,3.9601621255411725,0.0,0.0,8.669251931240334,2.527595928685912
2046,3.6424893468888935,0.0,0.0,8.584938545888733,2.4978490512985307
2047,3.5415118429527617,0.0,0.0,8.498207631180362,2.4684199923605505
2048,3.2920560952653273,0.0,0.0,8.40972695889059,2.4393576873757827
2049,3.194566806770767,0.0,0.0,8.36733552150442,2.4106074457413604
