,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,39.893325397392324,129.97314125469018,37.191452155726935,74.27034607168494
2020,39.81745393074288,128.0382977462554,34.49386907100084,76.00924031027978
2021,39.9609646003876,126.23837202160325,31.89435810987695,77.39813033353653
2022,40.058106602741006,123.27353525279763,29.176647568403766,78.7002484749014
2023,40.239696476598574,121.24011916665161,26.794708990915147,80.147423945503
2024,40.4693018765998,119.10543878586543,24.496507454894502,81.6341584143587
2025,42.35151824593637,112.41192851446145,22.19779260099948,84.87429993716965
2026,44.340850148875255,105.91348199207016,20.006709591442107,87.40264582949075
2027,46.35265581981244,99.49794396156327,17.89686912056698,89.80233465221454
2028,48.26146585765202,93.05887528255923,15.842384277309874,91.86262269497234
2029,50.211651537779765,86.69877656763433,13.850011141380023,93.82820263464238
2030,52.35681024933339,79.86747542146648,11.91795663437884,95.77266218142145
2031,54.62555572925865,73.63069589528368,10.044168465546992,97.68185551256784
2032,56.924238821647975,67.45634148090096,8.226339714964807,99.48602545318899
2033,59.25214690394632,61.343319644388174,6.466152630141147,101.18971845708029
2034,61.548031965737486,55.142735665552614,4.756480136908817,102.65462733746305
2035,63.44369808350314,48.23460278200266,3.10866445675208,103.90497757740232
2036,65.7132389876984,42.31751826627526,1.5230139471483952,105.24612338265055
2037,68.0014299233318,36.49208665941461,0.0,106.48440526717437
2038,69.74079217133145,30.884330406202633,0.0,106.99228724879474
2039,71.28751240436118,26.053672369214976,0.0,107.23016036247977
2040,72.24257540396631,20.74718144113477,0.0,107.20766982368949
2041,73.72282963967004,16.231021973040185,0.0,107.3569793166345
2042,75.17901708369602,11.893882447424879,0.0,107.42525574702496
2043,76.63747142448295,7.648562479411401,0.0,107.43874167631125
2044,78.06426464458954,3.5845945981039984,0.0,107.37335017233084
2045,77.34285110181546,3.6067513685323664,0.0,105.88952660669973
2046,77.33568930885802,3.617807515482399,0.0,104.70036889911897
2047,77.34931359554425,3.62889243589039,0.0,103.49595882482076
2048,77.3819248100702,3.6400062317481776,0.0,102.2756687312948
2049,77.43130812144383,3.6511490053423103,0.0,101.03994422982628
