,Consumption Electricity (TWh),Consumption Natural gas (TWh),Consumption Oil fuel (TWh),Consumption Wood fuel (TWh)
2019,41.38121926961851,134.60996357611003,37.947453826474636,74.33413506494543
2020,41.89806690204622,132.76958223114272,35.10846334473687,75.00190024186521
2021,42.452238538751665,130.84706711251528,32.40621981871759,75.88010868858507
2022,43.04559179354779,128.71531429441046,29.809702943362527,76.9464209154314
2023,43.681896097592634,126.30801686921606,27.297575462178028,78.18954143881015
2024,44.35705717270393,123.780273266952,24.894028269340474,79.59163150099555
2025,45.914391062524366,121.04039574733653,22.57800165014744,81.43744432165164
2026,47.02897573189812,118.11096772323798,20.335596591269475,83.0422879070683
2027,48.22004549212755,115.07240195000887,18.183026307727935,84.69966126121786
2028,49.4840760186595,111.89920412656784,16.10611805878431,86.37918420767001
2029,50.82711283397247,108.55994401233804,14.07943151024029,88.07454556907517
2030,52.28955244921939,104.69683139136963,12.115716414178909,89.80015086702194
2031,54.02381614139806,100.88539891652213,10.171053194754075,91.62777749325812
2032,55.84099507844351,96.9927369551344,8.29676572152057,93.44167690942605
2033,57.73300249840976,93.0421259589002,6.49307183358974,95.22391512002672
2034,59.69120743487442,89.05719904185791,4.760656224090931,96.9573852946759
2035,61.12687135502381,84.12965944144959,3.1004215330209117,98.45326857285177
2036,63.08917392599911,80.22306544262787,1.5132787045624319,100.1453740456552
2037,65.09827448978626,76.3219953407446,0.0,101.75737516756239
2038,66.51648473183228,72.35807720025137,0.0,102.58331703531697
2039,67.93563039775397,68.46397418012806,0.0,103.36432439072723
2040,68.54054127991142,63.712825244837795,0.0,103.74674197952814
2041,69.84924645799211,60.16555351369854,0.0,104.40329785967059
2042,71.134296612469,56.76835758215771,0.0,104.9610015749585
2043,72.39281564904738,53.50252491491761,0.0,105.42486846297223
2044,73.62397710471089,50.38805126207766,0.0,105.80171476695206
2045,74.09802682541445,47.58184222223568,0.0,105.83478342267287
2046,75.1776622910682,44.82779770190368,0.0,106.06039058353656
2047,76.22658674114165,42.21000146597082,0.0,106.20761384236978
2048,77.24569034569923,39.71390341491049,0.0,106.28163557753945
2049,78.23726741422385,37.3360764842157,0.0,106.29020732045984
