,Consumption saving insulation (TWh/year),Consumption saving heater (TWh/year)
2019,1.8427786754455329,0.06037812526590252
2020,1.8717874025697003,0.08406179451155042
2021,2.0453076988308765,0.3028394510791588
2022,1.978742066751287,0.31327478151634647
2023,1.6189842004319315,0.3334754743797984
2024,1.5666608801921138,0.3813644018734131
2025,1.9158963912026525,0.4894021566670904
2026,1.687991062634034,0.3225324061047697
2027,1.5965921247748553,0.3502072719507165
2028,1.9836068893049568,0.37730909809155133
2029,1.8517722634474263,0.4080294542043016
