,2020,2025,2030,2035,2040,2045,2050
river,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864
lake,15.302186369999946,15.302186369999609,15.302186369999665,15.302186369999719,15.30218636999975,15.302186369999722,15.30218636999972
phs,1.3709732133316133,0.0038329199999999996,0.8159915109564476,2.9295201305645664,4.0426343975610015,6.363186874843408,14.184561400400884
offshore_f,0.0,0.0,0.0,0.0,0.0,13.850509545031391,139.86829395844546
offshore_g,0.0,0.0,0.0,22.995049223424978,39.122495857222916,54.771494200112414,70.42049254300137
onshore,25.672679102256538,32.99567158507232,58.467363432553185,93.01366041654086,119.75153221823733,146.77384946463263,171.80504859813507
onshore_V110,,,,,,,
pv_g,9.524232366375484,19.405795296919564,34.1136857993546,62.55360726609468,76.51785952800927,87.77580161496503,99.59170593660659
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,18.999999999999922,25.749999999994827,32.49999999999497,39.24999999999385,46.00000000000614
ocgt,1.4320798373399661,0.0,0.0,0.18554729887674629,0.9595525487784343,1.4440942786333464,2.0114301597188287
ccgt,6.6550548856981155,0.05777265587010735,0.03580222609295221,1.952415365188055,7.685614257881382,14.940778022375602,21.58439769385269
coal,6.8919127580185595,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,377.17326279304297,377.1689749397189,364.90154852234633,320.13130445213017,300.596863425926,275.9745187409324,150.46557257519436
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.308173647617924
battery1,0.0,0.0,0.0,0.03414431883568662,0.04475100248257448,0.06447226547886212,0.21931172920102412
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,4.800000000001015,20.000000000001435,23.199999999998592,26.39999999999961,33.599999999997515,40.54065552213352
hydrogen,0.0,0.0,0.036425926899809925,3.259034308907212,4.1879947553902,5.530053831791541,8.760607197792442
methane,0.0,0.0,9.878006883372143,17.278784136827827,29.083289598185868,38.47611003846925,48.26745166401538
methanation,0.0,0.0,0.0,5.969253005165888,8.38619078668878,10.127959973763321,11.869754083033106
pyrogazification,0.0,0.0,0.0,0.0,9.60109601552649,14.399999999998242,19.20219203105298
natural_gas,154.13886519263866,130.58620001212842,95.78736958589057,72.89390532451263,47.99060189000434,30.559792519178426,17.48366727830018
geothermal,0.0,0.0,1.78,1.92,2.06,2.199999999999999,2.359999999999898
central_gas_boiler,12.883778564683672,15.91547906932519,13.427628365627157,14.847218306688296,12.164404315358565,8.19661114257477,5.6928211028223155
central_wood_boiler,0.031175167096499937,0.038424111667861416,3.308891126371357,3.658104002596838,7.747355692817187,13.103628777219413,16.820000000000018
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
