,hour,elec_demand,electrolysis,methanation,heat_elec,heat_gas,peak_electricity_load,nb_year,date,year
0,465,94.236,0.0,0.0,11.648129013125184,37.580285633485374,94.236,0,2006-01-20 09:00:00,2020
0,859,81.51275201793675,0.547945205479452,0.0,14.792293801431331,46.561666286490144,82.19768352478606,0,2006-02-05 19:00:00,2025
0,1531,85.62745057191815,2.2831050228310503,0.0,17.541400312253984,32.214992556154534,88.48133185045695,0,2006-03-05 19:00:00,2030
0,114,98.92922845215989,0.0,0.0,32.456816850820594,30.118360819863373,98.92922845215989,0,2006-01-05 18:00:00,2035
0,610,102.84301225125877,4.830676711461763,1.281550061476043,35.65335512944621,14.891341475961474,111.01727490971271,0,2006-01-26 10:00:00,2040
0,561,117.27656595469685,3.835616438356164,0.0,45.92956863129194,2.056805656744099,122.07108650264206,0,2006-01-24 09:00:00,2045
0,610,117.83611060659857,10.966210045662102,1.8900105541350523,40.9826418496262,1.9249068141840293,134.69389075390126,0,2006-01-26 10:00:00,2050
