,Consumption saving insulation (TWh/year),Consumption saving heater (TWh/year)
2019,1.8427786754455329,0.06037812526590252
2020,1.8717874025697003,0.08406179451155042
2021,2.0453076988308765,0.3028394510791588
2022,1.978742066751287,0.31327478151634647
2023,1.6189842004319315,0.3334754743797984
2024,1.5666608801921138,0.3813644018734131
2025,1.9084197938478265,2.103959247608819
2026,1.677302217525009,2.0916660182971745
2027,1.582187128796207,2.1143241139138826
2028,1.9575676431967306,2.135740577311235
2029,1.8216288629711361,2.1688388771142115
2030,1.7105958770081378,2.195191971745955
2031,1.597020418067511,2.226964989864977
2032,1.5036881563467124,2.2573867362704716
2033,1.4080064992252637,2.2865664226154356
2034,1.7403820303260775,2.3144927594606335
2035,1.6150060242801771,2.2167566999908495
2036,1.4871142183069792,2.2365336785201975
2037,1.3687193479542499,2.255228458680146
2038,1.2708455292213907,1.868844957110375
2039,1.1863100013724064,1.6068798078669146
2040,1.1262282118992264,1.4952387781088963
2041,1.051507970355343,1.4644368216621828
2042,0.983820414027091,1.4337592472421745
2043,0.922270678781117,1.4328936872062306
2044,0.8662425183126056,1.3968235288548512
2045,0.8260717325068588,-0.07238438413806236
2046,0.7803108960655448,-0.039647911082485915
2047,0.7379485018336388,-0.030114512767855643
2048,0.6991005465251692,-0.021181227192343118
2049,0.6623697473371489,-0.012182390196547032
