,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,6.031123678336662,2.1634790183813766,2.638758369929124,9.97812228524403,6.66431703206631
2020,5.875028157021487,2.3204817330771794,2.6751027412170694,9.956646133727157,6.855053608832202
2021,5.68944899220521,2.686099873994082,2.096930070516173,9.835088403761654,7.383170815152511
2022,5.508621443606814,2.5896279577469254,2.109837713840101,9.835847377535435,7.229073411680325
2023,5.354952412340682,1.9974557115512268,2.1119152844759634,9.785748525954006,6.1527241191928255
2024,5.0962418152498,3.7703750362200004,2.1508203093279925,10.080635246919478,10.437466547978977
2025,4.716448379000046,3.9909670525213365,2.1086840414801378,9.927951118544371,10.84049025164495
2026,4.346178852976081,4.380800718211394,2.0919862974987598,9.847676303006208,11.20507706160329
2027,4.0139806411251095,4.097335904416172,2.074691549253971,9.767045404045392,10.617465501582691
2028,3.614146141241616,4.422135405018345,2.057752697214357,9.687426530822703,11.347796576226806
2029,3.2581233471686764,4.109442879765753,2.0567016011476937,9.67138234859869,10.699091154789558
2030,2.940924870643868,3.8679418379187385,2.087023004380091,9.76256631133068,10.187247056035487
2031,2.6579218928248816,3.6198058078315953,2.102310366487551,9.771244869967424,9.648893665014972
2032,2.4051801679021803,3.3920129779130526,2.11591992614197,9.77631047019969,9.150851480139613
2033,2.1791946643863698,3.182943459259085,2.12776546461584,9.777366110181017,8.690034776105902
2034,1.9768543304372388,3.485676776555874,2.1377877760431265,9.77408196735656,9.482183376930726
2035,1.7909115235953934,3.287305886249671,2.1550876619179338,9.79648842260578,9.032884176554699
2036,1.6227114327743117,3.0466059400873777,2.14520573423903,9.75741043486896,8.470917402195091
2037,1.4700933803756124,2.8294294240997315,2.1346493158375512,9.715032098370584,7.961735741828502
2038,1.3258136816050754,2.6260641362349326,2.3503110123353648,9.939689820587017,7.508935864881373
2039,1.1947944542611715,2.456791346661832,2.748048185746095,10.63188102146446,7.121423036616045
2040,1.0729727367429311,2.350221427130478,2.748160403173016,10.601158971410818,6.89188046420536
2041,0.9613528352306157,2.206320138517062,2.7443163875802363,10.522362416768678,6.559616588822728
2042,0.859189981919418,2.0800087046182862,2.7569545027928153,10.486103325243484,6.310812027710843
2043,0.765658140133894,1.9552359971001043,2.744740509619113,10.411501361452947,6.018621224498092
2044,0.6797829306272687,1.8393585581754102,2.8557513884940624,10.574667436841327,5.745373580718299
2045,0.5989247843663148,1.7365613574496515,2.8290510539452685,10.465849072428409,5.503747936329889
2046,0.5242354794617415,1.6340048334986441,2.804672808924902,10.36810210003252,5.256951078879007
2047,0.4550103390637466,1.5381339617373566,2.7799205444560475,10.270722164996997,5.024131815254526
2048,0.3906180427841431,1.4482383458718318,2.755266384782577,10.174984923459936,4.803500015795735
2049,0.33051659266282046,1.3653470113788166,2.7501733690794943,10.14829659892153,4.60409549785696
