,Electricity,Natural gas,Oil fuel,Wood fuel
2020,39.714870903621204,128.3373989490368,36.78406750053939,71.21015502398906
2025,42.338273864125554,118.85193066798224,24.160460281578796,75.86617136582515
2030,47.9648103274897,105.43229627291267,13.6683014030039,83.56906611849247
2035,55.87946617451547,87.89191178145282,4.620272107986948,92.028474443365
2040,63.3026403854075,68.92767218267691,0.0,98.40648156556409
2045,68.13428400578944,51.85662109373564,0.0,101.09203718970996
2050,72.3233874760097,39.11429880533069,0.0,102.0626770760264
