,Health cost (Billion euro),Subsidies insulation (Billion euro),Subsidies heater (Billion euro),Investment heater WT (Billion euro),Investment insulation WT (Billion euro)
2019,6.114948023077358,0.0,0.0,8.128825057827475,2.9589359248286113
2020,6.042600264243672,0.0,0.0,8.097658259990972,2.9428913728893527
2021,5.9695199661030305,0.0,0.0,8.058092126264246,2.931979763688806
2022,5.895709969900295,0.0,0.0,8.018340338283956,2.9158765258794412
2023,5.821191905738411,0.0,0.0,7.978326307411621,2.899328868140081
2024,5.7459769693248255,0.0,0.0,7.938116921029997,2.882589156839865
2025,5.903077576853826,0.0,0.0,8.82145034038803,2.8452142188877363
2026,6.055785364049251,0.0,0.0,8.733886714079517,2.822583559213353
2027,6.204244994782699,0.0,0.0,8.646549083027484,2.799916061584595
2028,6.348576559169462,0.0,0.0,8.559494060716471,2.7799813902426647
2029,6.490335411354083,0.0,0.0,8.519267991591756,2.7576472536680403
2030,6.628687971791954,0.0,0.0,8.622011254110923,2.7523420371204934
2031,6.76362252987031,0.0,0.0,8.581502511804521,2.7385841719012602
2032,6.895633559306751,0.0,0.0,8.54071211554769,2.715529591268395
2033,7.024687822627094,0.0,0.0,8.499582582078176,2.692430219530297
2034,7.150755266628129,0.0,0.0,8.45805462567231,2.669037875564301
2035,7.261603720317026,0.0,0.0,8.575577067546448,2.679859062800671
2036,7.369582608851588,0.0,0.0,8.533691370352361,2.6530862270131492
2037,7.474485518957665,0.0,0.0,8.492770777014313,2.626387457881256
2038,7.4957757031757435,0.0,0.0,9.154045310760035,2.6133088079091658
2039,7.527005857381754,0.0,0.0,8.53289415294617,2.5897068410579815
2040,7.543203762896495,0.0,0.0,8.614925349053685,2.6066696605762343
2041,7.556282862177572,0.0,0.0,8.543091291881971,2.57870119093668
2042,7.564942444904101,0.0,0.0,8.473002193951213,2.5716729196658417
2043,7.570271915822087,0.0,0.0,8.404542847083018,2.544562683348571
2044,7.572170985595524,0.0,0.0,8.337770317807864,2.517901449825753
2045,7.380795879101963,0.0,0.0,8.649908637243282,2.5166736651877692
2046,7.190696474419721,0.0,0.0,8.566367261681,2.487694820144302
2047,7.001835454428209,0.0,0.0,8.48038721829079,2.4589830330985003
2048,6.81417148635826,0.0,0.0,8.392636517368441,2.4305897655647426
2049,6.627589784582983,0.0,0.0,8.350842546318933,2.402465247514266
