,Consumption saving insulation (TWh/year),Consumption saving heater (TWh/year)
2019,1.8427786754455329,0.06037812526590252
2020,1.8717874025697003,0.08406179451155042
2021,2.0453076988308765,0.3028394510791588
2022,1.978742066751287,0.31327478151634647
2023,1.6189842004319315,0.3334754743797984
2024,2.484940200241784,0.39713334555448054
2025,2.7504994944021024,2.1222249802190722
2026,2.5626873112093924,2.1678684637788774
2027,2.393312826630242,2.2097347120118416
2028,2.6980027793503623,2.2482515566339103
2029,2.5143922599529582,2.299299933817674
2030,2.3489076396952693,2.332385368074236
2031,2.1830660100846564,2.3551265890980373
2032,2.0520420721334016,2.3763555414216038
2033,1.90926298758454,2.396368906293272
2034,2.1750084447359415,2.4148940261111833
2035,2.0096606274150504,2.318918687952775
2036,1.8284619510641291,2.3450058829160225
2037,1.6653416136905788,2.3687061854897418
2038,1.5321453476642417,1.985859218828453
2039,1.4248923172331844,1.7002146742696143
2040,1.3299108143603826,1.5929875009320003
2041,1.228060483481719,1.5516358531320018
2042,1.1746059110885951,1.507937425453935
2043,1.0852873317291307,1.4949004439193712
2044,1.006359929685545,1.4084088095124836
2045,0.9431702186793629,-0.0020331829809908867
2046,0.8789423010037063,0.005831115833247304
2047,0.8178578885540753,0.013286999540009023
2048,0.7594862426324634,0.02039523661628473
2049,0.7041823873452552,0.027941177430806756
